pid,kull,sex,age,charity,election,treatment,decision,given1,given2,given_hypo
19,1,2,19,0,6,T1,EXIT,0,0,
20,2,1,21,3,5,T1*,ENTRY,0,0,
22,2,2,20,1,6,T2,NO,100,,100
23,5,1,23,1,6,T2*,ENTRY,100,100,
24,2,1,21,1,2,T3,EXIT,100,100,
26,2,1,21,1,6,T3*,ENTRY,0,0,
27,2,1,20,2,5,T1,EXIT,50,40,
29,5,1,24,1,6,T1*,NO,0,,0
33,4,2,22,1,3,T2,EXIT,0,0,
35,5,1,23,3,4,T2*,ENTRY,0,0,
36,5,1,25,0,2,T3,EXIT,200,200,
38,2,1,23,0,4,T3*,ENTRY,0,20,
39,2,1,22,0,6,T1,NO,0,,0
40,2,2,20,1,2,T1*,NO,0,,0
41,1,1,21,2,4,T2,NO,100,,100
44,1,2,20,3,6,T2*,ENTRY,0,0,
45,4,1,24,1,2,T3,EXIT,200,200,
46,2,1,21,1,6,T3*,NO,0,,100
47,1,1,21,2,6,T1,NO,100,,0
48,2,2,20,0,6,T1*,NO,20,,20
49,4,1,23,2,1,T2,NO,0,,0
50,1,1,22,3,6,T2*,NO,100,,100
51,3,1,22,2,6,T3,EXIT,0,0,
52,1,2,20,2,2,T3*,ENTRY,200,200,
53,5,1,24,3,2,T1,NO,0,,0
54,5,1,24,0,6,T1*,NO,0,,0
83,3,1,23,1,6,T1,NO,0,,0
84,1,1,23,3,5,T1*,ENTRY,100,100,
85,2,2,22,1,6,T2,NO,100,,100
86,1,2,21,1,2,T2*,NO,50,,80
87,1,2,20,3,5,T3,NO,200,,200
89,1,1,20,1,6,T3*,ENTRY,200,200,
90,1,2,20,1,4,T1,EXIT,50,50,
91,1,2,20,1,2,T1*,ENTRY,0,0,
92,1,2,19,1,3,T2,NO,100,,100
93,1,1,19,1,3,T2*,ENTRY,100,100,
94,1,2,19,1,3,T3,EXIT,100,100,
95,1,2,19,1,6,T3*,ENTRY,100,100,
96,1,2,19,1,,T1,EXIT,0,0,
97,1,2,19,1,2,T1*,ENTRY,30,35,
98,5,1,28,1,2,T2,NO,100,,100
99,1,2,21,0,6,T2*,ENTRY,0,0,
100,1,2,19,1,6,T3,NO,150,,150
101,1,2,20,1,6,T3*,ENTRY,100,100,
102,1,2,20,1,6,T1,EXIT,0,0,
103,1,2,20,2,5,T1*,ENTRY,60,50,
105,1,1,20,1,7,T2,EXIT,0,0,
106,1,2,20,1,1,T2*,NO,50,,50
108,4,2,29,1,6,T3,NO,150,,150
163,2,2,20,3,6,T2*,NO,0,,0
164,5,1,26,3,1,T3*,NO,200,,200
165,2,1,19,0,6,T3,EXIT,0,0,
166,2,1,21,1,7,T2*,ENTRY,0,0,
168,1,2,20,1,2,T2,NO,100,,100
169,1,2,19,1,4,T2,NO,100,,50
170,1,2,19,0,6,T1*,ENTRY,0,0,
171,2,1,20,1,2,T1*,ENTRY,50,75,
172,5,1,24,1,6,T1,NO,0,,0
173,2,2,20,3,4,T1,NO,0,,0
176,2,1,20,0,7,T3,NO,150,,100
177,2,1,20,0,,T3*,NO,150,,150
178,2,1,22,1,6,T1,NO,0,,0
179,2,2,23,1,2,T1*,NO,0,,0
180,2,2,21,1,2,T2,EXIT,0,0,
181,5,2,24,1,6,T2*,ENTRY,80,100,
182,4,2,21,0,4,T3,EXIT,0,0,
183,5,1,24,1,6,T3*,ENTRY,50,50,
185,1,2,19,0,9,T1,NO,100,,100
187,1,2,19,1,4,T2,NO,100,,100
188,5,1,24,0,6,T1*,NO,0,,0
189,2,1,21,1,2,T2*,ENTRY,100,100,
190,2,1,20,1,6,T3,NO,150,,150
191,2,1,21,1,6,T3*,ENTRY,30,30,
192,2,1,22,0,6,T1,NO,0,,0
193,2,1,21,1,6,T1*,NO,0,,0
194,4,1,22,0,9,T2,NO,0,,0
196,2,2,20,0,3,T2*,ENTRY,5,0,
198,2,1,21,1,2,T3,EXIT,50,50,
199,2,1,22,1,6,T3*,NO,0,,0
200,2,1,21,1,3,T1,EXIT,0,0,
