ID,Treatment,Robber,Female,Age,Econ,RobbersChoice,DecisionTime,DGSent,UGSent,UGMTA,TGSent,TGReturn,Donation,CharityValue,Expectation,SelectedRobber,PayoffBeforeRob,PayoffAfterRob
1,1,0,1,19,1,-1,0,1,5,0,0,.0963691,1,3,33.1,0,17.15,8.75
2,1,0,1,19,0,-1,0,5,5,5,4,.2196825,30,10,27.9,0,10.85,7.35
3,0,0,1,22,1,-1,0,0,5,5,2,.2053175,0,4,50,0,12.6,6.3
4,0,0,1,19,0,-1,0,5,5,3,5,.5252579,65,9,35.8,0,7.7,3.85
5,0,0,1,21,1,-1,0,2,5,2,3,.1087302,5,7,27.5,0,15.4,7.7
6,0,0,1,24,1,-1,0,5,5,2,3,.3519047,50,10,44,0,8.4,4.2
7,1,0,0,21,0,-1,0,5,5,5,10,.2645833,2,6,20.4,0,11.9,8.05
8,1,0,1,21,0,-1,0,5,5,3,6,.2397421,30,7,39.8,0,11.55,10.5
9,1,0,0,19,1,-1,0,0,4,4,4,.4437698,5,3,43.15,0,11.55,8.05
10,0,0,1,24,0,-1,0,0,4,2,2,.1194246,0,4,36.9,0,12.25,6.3
11,0,0,1,22,0,-1,0,1,3,3,2,.0479167,0,5,43.75,0,13.65,12.6
12,0,0,0,24,1,-1,0,0,5,1,6,.1771825,0,5,24.9,0,13.65,7
13,0,0,1,21,1,-1,0,2,5,1,3,.3585516,10,10,17.6,0,11.9,5.95
14,0,0,0,21,0,-1,0,0,5,1,0,0,0,4,10.44,0,13.65,7
15,1,0,1,29,0,-1,0,1,4,1,1,.3858333,5,3,47.61,0,11.55,8.05
16,0,0,1,18,0,-1,0,2,4,3,3,.0322817,0,2,33.3,0,15.4,14
17,0,0,1,23,0,-1,0,0,5,6,3,.1614087,0,5,44.3,0,14.35,7.35
18,0,0,1,24,0,-1,0,0,4,1,0,.0562302,0,7,44.6,0,13.65,7
19,1,0,1,26,0,-1,0,0,5,5,3,.2397421,0,2,43.75,0,12.6,8.75
20,1,0,1,22,0,-1,0,2,5,5,2,.130873,0,2,12.6,0,11.55,8.05
21,1,0,0,24,1,-1,0,3,5,5,3,.1110913,5,8,42.6,0,12.95,6.65
22,0,0,1,24,0,-1,0,3,4,3,3,.1871825,5,10,23.85,0,12.25,6.3
23,0,0,1,24,0,-1,0,5,5,5,10,.1549008,0,2,24.9,0,9.1,4.55
24,1,0,1,19,0,-1,0,5,5,5,5,.1638492,0,3,41.5,0,7.7,5.25
25,1,0,0,23,1,-1,0,3,5,3,4,.3216667,0,6,34.4,0,11.55,5.95
26,0,0,0,31,1,-1,0,5,5,4,6,.2314087,0,5,43.84,0,7.7,3.85
27,1,0,1,23,0,-1,0,5,5,1,4,.5,0,9,42.6,0,8.4,5.95
28,0,0,1,21,1,-1,0,1,4,1,5,.1582936,0,4,49.66,0,14.7,7.35
29,1,0,1,22,0,-1,0,3,5,1,3,.387619,5,9,41.75,0,8.75,5.95
30,1,0,0,24,1,-1,0,0,5,4,0,0,0,8,39,0,13.65,12.6
31,1,0,1,19,0,-1,0,2,5,4,5,.3476587,5,8,47.15,0,9.1,6.3
32,1,0,1,21,1,-1,0,3,4,1,5,.0863691,1,6,45.02,0,8.75,5.95
33,1,0,1,25,0,-1,0,4,5,4,3,.2863492,5,10,16.95,0,14,12.6
34,0,0,1,24,1,-1,0,0,5,5,5,.2272421,50,10,20.9,0,11.2,5.6
35,0,0,1,21,1,-1,0,4,5,4,3,.3439683,5,5,40.95,0,9.8,9.1
