ingroup,player,strategy,gamepayoff,subject,belief1,belief2,belief3
0,2,3,128,101,0,0,10
1,2,1,8,102,12,12,12
0,2,3,16,103,0,0,0
0,1,4,8,104,0,0,8
0,1,4,256,105,0,1,11
1,1,3,64,106,0,3,9
1,2,3,16,107,0,0,4
1,1,4,2,108,0,0,10
0,2,2,32,109,0,6,12
1,2,3,1,110,0,1,11
1,1,3,64,111,0,1,11
0,2,4,64,112,0,3,9
0,2,4,64,113,0,4,10
1,2,2,32,114,0,3,11
0,1,4,32,115,0,0,9
1,2,3,16,116,0,0,10
0,1,3,64,117,0,8,2
1,2,1,8,118,0,12,12
1,1,1,4,119,10,8,12
0,1,3,64,120,0,0,12
1,1,3,8,121,0,0,12
0,1,4,256,122,0,0,12
1,1,2,2,123,9,10,12
0,2,4,16,124,0,0,10
1,2,3,16,201,0,0,0
1,2,3,16,202,0,0,10
0,2,1,1,203,2,5,9
0,1,4,32,204,12,0,12
0,1,4,256,205,5,8,10
1,2,4,16,206,0,4,9
1,1,3,64,207,0,0,8
0,1,4,8,208,0,0,11
0,1,4,8,209,0,3,9
1,1,3,64,210,0,8,4
1,1,3,64,211,4,10,2
0,2,3,128,212,0,0,5
0,2,2,32,213,0,0,5
0,2,4,64,214,12,12,12
0,2,1,8,215,1,6,10
1,2,2,32,216,0,6,12
1,1,4,8,217,0,0,10
0,1,1,4,218,6,10,5
0,2,2,32,219,0,4,12
1,1,3,8,220,2,4,5
1,2,2,32,221,0,12,12
0,1,4,2,222,12,10,6
1,1,3,8,223,2,6,4
1,2,2,32,224,6,6,9
0,2,3,16,301,1,3,11
0,2,4,16,302,0,4,5
1,2,3,16,303,0,2,10
1,2,3,16,304,0,0,12
1,1,4,8,305,3,9,3
0,2,3,16,306,5,3,4
0,1,3,64,307,0,1,11
1,2,3,128,308,0,0,5
1,2,2,32,309,0,4,12
1,2,3,16,310,0,0,7
0,1,3,64,311,0,5,12
1,1,3,64,312,0,3,9
1,1,3,64,313,0,4,8
1,1,3,64,314,0,0,12
1,1,4,32,315,0,0,4
1,1,4,32,316,0,0,0
0,1,4,8,317,0,0,12
0,1,3,64,318,0,5,12
0,2,3,16,319,0,0,4
0,2,3,16,320,0,2,11
0,1,3,64,321,0,4,8
0,1,3,64,322,0,0,4
0,2,2,32,323,0,6,6
1,2,3,128,324,0,5,8
1,1,3,64,401,0,8,12
0,2,3,128,402,2,5,9
0,2,4,64,403,0,0,7
1,1,4,32,404,0,0,6
0,1,4,32,405,0,4,7
1,1,4,32,406,0,4,10
0,2,2,32,407,9,10,11
0,1,2,16,408,2,9,12
0,2,3,128,409,0,0,10
1,2,1,8,410,5,7,8
1,1,3,8,411,2,6,4
0,1,4,32,412,0,0,0
0,2,3,4,413,0,2,6
0,1,4,8,414,0,0,12
1,2,4,16,415,0,2,9
1,2,3,128,416,0,0,10
1,2,2,32,417,12,6,6
1,1,4,8,418,0,1,8
0,2,3,16,419,0,0,12
0,1,3,64,420,0,6,12
1,2,2,32,421,12,0,12
0,1,4,256,422,0,8,10
1,2,3,128,423,0,0,5
1,1,4,2,424,0,0,0
