decision,ingroup,player,continue,belief,subject
1,0,2,1,12.0,101.0
2,0,2,1,2.0,101.0
3,0,2,0,,101.0
1,1,2,0,0.0,102.0
2,1,2,0,0.0,102.0
3,1,2,0,,102.0
1,0,2,1,12.0,103.0
2,0,2,1,12.0,103.0
3,0,2,0,,103.0
1,0,1,1,12.0,104.0
2,0,1,1,12.0,104.0
3,0,1,1,4.0,104.0
1,0,1,1,12.0,105.0
2,0,1,1,11.0,105.0
3,0,1,1,1.0,105.0
1,1,1,1,12.0,106.0
2,1,1,1,9.0,106.0
3,1,1,0,3.0,106.0
1,1,2,1,12.0,107.0
2,1,2,1,8.0,107.0
3,1,2,0,,107.0
1,1,1,1,12.0,108.0
2,1,1,1,12.0,108.0
3,1,1,1,2.0,108.0
1,0,2,1,6.0,109.0
2,0,2,0,0.0,109.0
3,0,2,0,,109.0
1,1,2,1,11.0,110.0
2,1,2,1,1.0,110.0
3,1,2,0,,110.0
1,1,1,1,12.0,111.0
2,1,1,1,11.0,111.0
3,1,1,0,1.0,111.0
1,0,2,1,9.0,112.0
2,0,2,1,3.0,112.0
3,0,2,1,,112.0
1,0,2,1,8.0,113.0
2,0,2,1,2.0,113.0
3,0,2,1,,113.0
1,1,2,1,9.0,114.0
2,1,2,0,1.0,114.0
3,1,2,0,,114.0
1,0,1,1,12.0,115.0
2,0,1,1,12.0,115.0
3,0,1,1,3.0,115.0
1,1,2,1,12.0,116.0
2,1,2,1,2.0,116.0
3,1,2,0,,116.0
1,0,1,1,12.0,117.0
2,0,1,1,4.0,117.0
3,0,1,0,10.0,117.0
1,1,2,0,0.0,118.0
2,1,2,0,0.0,118.0
3,1,2,0,,118.0
1,1,1,0,2.0,119.0
2,1,1,0,4.0,119.0
3,1,1,0,0.0,119.0
1,0,1,1,12.0,120.0
2,0,1,1,12.0,120.0
3,0,1,0,0.0,120.0
1,1,1,1,12.0,121.0
2,1,1,1,12.0,121.0
3,1,1,0,0.0,121.0
1,0,1,1,12.0,122.0
2,0,1,1,12.0,122.0
3,0,1,1,0.0,122.0
1,1,1,1,3.0,123.0
2,1,1,0,2.0,123.0
3,1,1,0,0.0,123.0
1,0,2,1,12.0,124.0
2,0,2,1,2.0,124.0
3,0,2,1,,124.0
1,1,2,1,12.0,201.0
2,1,2,1,12.0,201.0
3,1,2,0,,201.0
1,1,2,1,12.0,202.0
2,1,2,1,2.0,202.0
3,1,2,0,,202.0
1,0,2,0,7.0,203.0
2,0,2,0,3.0,203.0
3,0,2,0,,203.0
1,0,1,1,0.0,204.0
2,0,1,1,12.0,204.0
3,0,1,1,0.0,204.0
1,0,1,1,7.0,205.0
2,0,1,1,4.0,205.0
3,0,1,1,2.0,205.0
1,1,2,1,8.0,206.0
2,1,2,1,3.0,206.0
3,1,2,1,,206.0
1,1,1,1,12.0,207.0
2,1,1,1,12.0,207.0
3,1,1,0,4.0,207.0
1,0,1,1,12.0,208.0
2,0,1,1,12.0,208.0
3,0,1,1,1.0,208.0
1,0,1,1,12.0,209.0
2,0,1,1,9.0,209.0
3,0,1,1,3.0,209.0
1,1,1,1,12.0,210.0
2,1,1,1,4.0,210.0
3,1,1,0,8.0,210.0
1,1,1,1,8.0,211.0
2,1,1,1,2.0,211.0
3,1,1,0,10.0,211.0
1,0,2,1,12.0,212.0
2,0,2,1,7.0,212.0
3,0,2,0,,212.0
1,0,2,1,12.0,213.0
2,0,2,0,7.0,213.0
3,0,2,0,,213.0
1,0,2,1,0.0,214.0
2,0,2,1,0.0,214.0
3,0,2,1,,214.0
1,0,2,0,6.0,215.0
2,0,2,1,2.0,215.0
3,0,2,0,,215.0
1,1,2,1,6.0,216.0
2,1,2,0,0.0,216.0
3,1,2,0,,216.0
1,1,1,1,12.0,217.0
2,1,1,1,12.0,217.0
3,1,1,1,2.0,217.0
1,0,1,0,6.0,218.0
2,0,1,1,2.0,218.0
3,0,1,0,7.0,218.0
1,0,2,1,8.0,219.0
2,0,2,0,0.0,219.0
3,0,2,0,,219.0
1,1,1,1,10.0,220.0
2,1,1,1,8.0,220.0
3,1,1,0,7.0,220.0
1,1,2,1,0.0,221.0
2,1,2,0,0.0,221.0
3,1,2,0,,221.0
1,0,1,1,0.0,222.0
2,0,1,1,2.0,222.0
3,0,1,1,6.0,222.0
1,1,1,1,10.0,223.0
2,1,1,1,6.0,223.0
3,1,1,0,8.0,223.0
1,1,2,1,6.0,224.0
2,1,2,0,3.0,224.0
3,1,2,0,,224.0
1,0,2,1,9.0,301.0
2,0,2,1,1.0,301.0
3,0,2,0,,301.0
1,0,2,1,8.0,302.0
2,0,2,1,7.0,302.0
3,0,2,1,,302.0
1,1,2,1,10.0,303.0
2,1,2,1,2.0,303.0
3,1,2,0,,303.0
1,1,2,1,12.0,304.0
2,1,2,1,0.0,304.0
3,1,2,0,,304.0
1,1,1,1,9.0,305.0
2,1,1,1,3.0,305.0
3,1,1,1,9.0,305.0
1,0,2,1,9.0,306.0
2,0,2,1,8.0,306.0
3,0,2,0,,306.0
1,0,1,1,12.0,307.0
2,0,1,1,11.0,307.0
3,0,1,0,1.0,307.0
1,1,2,1,12.0,308.0
2,1,2,1,7.0,308.0
3,1,2,0,,308.0
1,1,2,1,8.0,309.0
2,1,2,0,0.0,309.0
3,1,2,0,,309.0
1,1,2,1,12.0,310.0
2,1,2,1,5.0,310.0
3,1,2,0,,310.0
1,0,1,1,12.0,311.0
2,0,1,1,7.0,311.0
3,0,1,0,0.0,311.0
1,1,1,1,12.0,312.0
2,1,1,1,9.0,312.0
3,1,1,0,3.0,312.0
1,1,1,1,12.0,313.0
2,1,1,1,8.0,313.0
3,1,1,0,4.0,313.0
1,1,1,1,12.0,314.0
2,1,1,1,12.0,314.0
3,1,1,0,0.0,314.0
1,1,1,1,12.0,315.0
2,1,1,1,12.0,315.0
3,1,1,1,8.0,315.0
1,1,1,1,12.0,316.0
2,1,1,1,12.0,316.0
3,1,1,1,12.0,316.0
1,0,1,1,12.0,317.0
2,0,1,1,12.0,317.0
3,0,1,1,0.0,317.0
1,0,1,1,12.0,318.0
2,0,1,1,7.0,318.0
3,0,1,0,0.0,318.0
1,0,2,1,12.0,319.0
2,0,2,1,8.0,319.0
3,0,2,0,,319.0
1,0,2,1,10.0,320.0
2,0,2,1,1.0,320.0
3,0,2,0,,320.0
1,0,1,1,12.0,321.0
2,0,1,1,8.0,321.0
3,0,1,0,4.0,321.0
1,0,1,1,12.0,322.0
2,0,1,1,12.0,322.0
3,0,1,0,8.0,322.0
1,0,2,1,6.0,323.0
2,0,2,0,6.0,323.0
3,0,2,0,,323.0
1,1,2,1,7.0,324.0
2,1,2,1,4.0,324.0
3,1,2,0,,324.0
1,1,1,1,12.0,401.0
2,1,1,1,4.0,401.0
3,1,1,0,0.0,401.0
1,0,2,1,7.0,402.0
2,0,2,1,3.0,402.0
3,0,2,0,,402.0
1,0,2,1,12.0,403.0
2,0,2,1,5.0,403.0
3,0,2,1,,403.0
1,1,1,1,12.0,404.0
2,1,1,1,12.0,404.0
3,1,1,1,6.0,404.0
1,0,1,1,12.0,405.0
2,0,1,1,8.0,405.0
3,0,1,1,5.0,405.0
1,1,1,1,12.0,406.0
2,1,1,1,8.0,406.0
3,1,1,1,2.0,406.0
1,0,2,1,2.0,407.0
2,0,2,0,1.0,407.0
3,0,2,0,,407.0
1,0,1,1,10.0,408.0
2,0,1,0,3.0,408.0
3,0,1,0,0.0,408.0
1,0,2,1,12.0,409.0
2,0,2,1,2.0,409.0
3,0,2,0,,409.0
1,1,2,0,5.0,410.0
2,1,2,1,4.0,410.0
3,1,2,0,,410.0
1,1,1,1,10.0,411.0
2,1,1,1,6.0,411.0
3,1,1,0,8.0,411.0
1,0,1,1,12.0,412.0
2,0,1,1,12.0,412.0
3,0,1,1,12.0,412.0
1,0,2,1,10.0,413.0
2,0,2,1,6.0,413.0
3,0,2,0,,413.0
1,0,1,1,12.0,414.0
2,0,1,1,12.0,414.0
3,0,1,1,0.0,414.0
1,1,2,1,10.0,415.0
2,1,2,1,3.0,415.0
3,1,2,1,,415.0
1,1,2,1,12.0,416.0
2,1,2,1,2.0,416.0
3,1,2,0,,416.0
1,1,2,1,6.0,417.0
2,1,2,0,6.0,417.0
3,1,2,0,,417.0
