ingroup,choice,beliefL,beliefC,beliefR,game,BRUR,choiceU,choiceD,BRURbelief,ingroup_BRURbelief,distance_uniform
0.0,1,52,36,12,3,0.0,0.0,0.0,12.0,0.0,28.472208
1.0,1,87,10,3,2,0.0,0.0,0.0,3.0,3.0,65.914085
0.0,2,0,0,100,5,0.0,0.0,1.0,0.0,0.0,81.64966
1.0,1,20,60,20,2,0.0,0.0,0.0,20.0,20.0,32.659863
1.0,0,82,17,1,1,1.0,1.0,0.0,82.0,82.0,60.6685
0.0,0,32,67,1,3,0.0,1.0,0.0,1.0,0.0,46.69761
1.0,0,50,50,0,4,1.0,1.0,0.0,50.0,50.0,40.82483
0.0,0,44,43,13,3,0.0,1.0,0.0,13.0,0.0,24.913183
0.0,2,0,1,99,3,1.0,0.0,1.0,99.0,0.0,80.428024
1.0,0,100,0,0,2,0.0,1.0,0.0,0.0,0.0,81.64966
1.0,2,8,31,61,2,1.0,0.0,1.0,61.0,61.0,37.585457
0.0,2,1,1,98,4,0.0,0.0,1.0,1.0,0.0,79.200165
0.0,2,25,30,45,2,1.0,0.0,1.0,45.0,0.0,14.719602
1.0,2,0,0,100,3,1.0,0.0,1.0,100.0,100.0,81.64966
0.0,1,38,45,17,3,0.0,0.0,0.0,17.0,0.0,20.607443
0.0,0,85,12,3,2,0.0,1.0,0.0,3.0,0.0,63.597694
0.0,0,65,12,23,4,1.0,1.0,0.0,65.0,0.0,39.555866
1.0,0,30,60,10,3,0.0,1.0,0.0,10.0,10.0,35.59026
1.0,2,0,0,100,2,1.0,0.0,1.0,100.0,100.0,81.64966
1.0,1,40,35,25,3,0.0,0.0,0.0,25.0,25.0,10.801234
1.0,2,0,0,100,5,0.0,0.0,1.0,0.0,0.0,81.64966
1.0,1,7,19,74,5,1.0,0.0,0.0,19.0,19.0,50.523922
0.0,0,75,25,0,1,1.0,1.0,0.0,75.0,0.0,54.006172
0.0,1,20,70,10,5,1.0,0.0,0.0,70.0,0.0,45.460606
0.0,1,49,31,20,5,1.0,0.0,0.0,31.0,0.0,20.704268
1.0,2,25,25,50,4,0.0,0.0,1.0,25.0,25.0,20.412415
0.0,2,1,28,71,2,1.0,0.0,1.0,71.0,0.0,49.926613
1.0,2,24,10,66,1,0.0,0.0,1.0,24.0,24.0,41.214886
1.0,2,0,0,100,4,0.0,0.0,1.0,0.0,0.0,81.64966
1.0,0,11,41,48,3,0.0,1.0,0.0,48.0,48.0,27.796883
0.0,0,80,10,10,1,1.0,1.0,0.0,80.0,0.0,57.154762
1.0,1,0,40,60,4,0.0,0.0,0.0,0.0,0.0,43.204937
1.0,1,48,41,11,2,0.0,0.0,0.0,11.0,11.0,27.796883
