Soc_Ref,Persec,Paranoia,Age,Gender,earnmore,harmme,frame,frame_bin,fairness,fair_bin,believe_real,similarHITS,role,role_bin,,Key,
16,16,32,66,Male,100,51,take,1,stingy,1,1,3,receiver,1,,Soc_Ref,Combined score for Social Reference scale
29,22,51,28,Male,71,0,give,0,fair,0,2,2,receiver,1,,Persec,Combined score for Persecution scale
16,16,32,24,Male,100,100,take,1,stingy,1,1,4,receiver,1,,Paranoia,Sum of Soc_Ref+Persec
16,21,37,36,Female,96,6,give,0,stingy,1,4,1,receiver,1,,earnmore,extent to which subject believed dictator was motivated by desire to earn more money
22,16,38,36,Female,100,100,take,1,fair,0,5,1,receiver,1,,harmme,extent to which subject believed dictator wanted to reduce their bonus
19,21,40,41,Male,0,0,give,0,fair,0,5,3,receiver,1,,frame,describes whether the dictator game was a giving game or a taking game
36,27,63,41,Male,83,13,take,1,fair,0,3,4,receiver,1,,fairness,describes whether the subject's partner made a fair or stingy decision
16,16,32,28,Female,29,0,give,0,fair,0,5,1,receiver,1,,believe_real,the extent to which subject believed the other players in the game were real (1 = very skeptical that other player was real; 5 = very confident that other player was real)
18,16,34,57,Female,49,9,give,0,fair,0,4,2,receiver,1,,similarHITS,describes whether a subject has previously participated in a task like this before (1 = nothing like this scenario; 5 = exactly like this scenario)
27,18,45,34,Male,39,0,give,0,fair,0,2,3,receiver,1,,role,codes subjects role as a second-party receiver or third-party bystander
20,17,37,24,Male,58,0,take,1,fair,0,4,2,receiver,1,,,
16,16,32,52,Female,73,39,take,1,fair,0,5,2,receiver,1,,,
18,16,34,44,Male,45,0,give,0,fair,0,5,1,receiver,1,,,
21,17,38,40,Female,49,27,take,1,fair,0,4,4,receiver,1,,,
50,58,108,24,Male,23,0,give,0,fair,0,5,3,receiver,1,,,
20,16,36,67,Male,67,58,give,0,stingy,1,3,3,receiver,1,,,
40,25,65,28,Male,96,6,give,0,stingy,1,3,3,receiver,1,,,
25,16,41,57,Female,89,0,take,1,fair,0,1,3,receiver,1,,,
35,19,54,26,Female,0,0,give,0,fair,0,4,3,receiver,1,,,
20,17,37,39,Female,0,0,give,0,fair,0,3,4,receiver,1,,,
35,20,55,28,Female,100,100,give,0,stingy,1,4,4,receiver,1,,,
17,16,33,28,Male,100,11,take,1,fair,0,4,4,receiver,1,,,
34,17,51,37,Female,100,4,give,0,stingy,1,3,3,receiver,1,,,
41,26,67,38,Female,85,9,give,0,fair,0,5,4,receiver,1,,,
43,20,63,23,Male,100,25,take,1,stingy,1,4,1,receiver,1,,,
31,17,48,31,Female,81,6,take,1,fair,0,4,5,receiver,1,,,
28,25,53,49,Male,0,0,take,1,fair,0,2,4,receiver,1,,,
26,16,42,57,Female,77,5,take,1,fair,0,4,3,receiver,1,,,
39,42,81,23,Male,100,11,take,1,stingy,1,5,4,receiver,1,,,
16,17,33,47,Male,100,50,give,0,stingy,1,5,3,receiver,1,,,
19,16,35,32,Male,100,0,take,1,stingy,1,5,1,receiver,1,,,
20,24,44,65,Female,66,9,take,1,fair,0,5,4,receiver,1,,,
16,16,32,38,Male,13,24,take,1,fair,0,2,3,receiver,1,,,
16,16,32,38,Female,100,100,take,1,stingy,1,3,4,receiver,1,,,
20,18,38,32,Female,82,24,give,0,stingy,1,5,3,receiver,1,,,
33,45,78,40,Male,69,16,take,1,fair,0,5,3,receiver,1,,,
19,16,35,57,Female,100,100,give,0,stingy,1,5,3,receiver,1,,,
16,16,32,33,Male,100,0,take,1,stingy,1,2,2,receiver,1,,,
33,27,60,26,Male,91,28,give,0,stingy,1,4,3,receiver,1,,,
20,18,38,67,Male,4,3,take,1,fair,0,1,4,receiver,1,,,
17,29,46,35,Male,100,0,give,0,stingy,1,2,3,receiver,1,,,
54,55,109,38,Male,55,0,take,1,stingy,1,5,1,receiver,1,,,
19,16,35,57,Female,14,16,give,0,fair,0,5,4,receiver,1,,,
35,26,61,32,Male,94,13,take,1,stingy,1,3,4,receiver,1,,,
50,38,88,32,Male,100,80,take,1,stingy,1,3,3,receiver,1,,,
22,21,43,32,Male,6,12,take,1,fair,0,1,4,receiver,1,,,
24,16,40,37,Male,19,0,give,0,fair,0,4,3,receiver,1,,,
37,27,64,34,Female,1,0,give,0,fair,0,5,5,receiver,1,,,
19,19,38,34,Male,96,6,give,0,stingy,1,5,3,receiver,1,,,
56,35,91,25,Female,92,20,take,1,stingy,1,4,4,receiver,1,,,
20,18,38,34,Female,70,15,take,1,fair,0,3,4,receiver,1,,,
43,43,86,21,Male,62,75,take,1,fair,0,3,4,receiver,1,,,
39,24,63,26,Female,100,37,take,1,stingy,1,2,2,receiver,1,,,
38,44,82,29,Male,100,0,give,0,stingy,1,5,2,receiver,1,,,
23,18,41,23,Female,77,17,take,1,fair,0,1,1,receiver,1,,,
19,23,42,46,Female,32,0,take,1,fair,0,4,3,receiver,1,,,
20,16,36,28,Male,90,5,take,1,stingy,1,5,3,receiver,1,,,
36,18,54,39,Female,2,0,give,0,fair,0,1,2,receiver,1,,,
24,18,42,39,Male,81,2,give,0,fair,0,3,2,receiver,1,,,
16,16,32,25,Female,100,0,take,1,fair,0,5,4,receiver,1,,,
17,19,36,35,Male,22,0,take,1,fair,0,2,5,receiver,1,,,
21,16,37,23,Male,100,0,take,1,stingy,1,2,1,receiver,1,,,
49,47,96,28,Male,67,9,take,1,fair,0,5,3,receiver,1,,,
23,18,41,30,Female,94,16,give,0,stingy,1,3,5,receiver,1,,,
18,16,34,25,Female,100,9,give,0,stingy,1,2,2,receiver,1,,,
45,47,92,29,Female,100,73,take,1,stingy,1,4,3,receiver,1,,,
16,18,34,48,Female,100,100,give,0,stingy,1,5,4,receiver,1,,,
19,22,41,42,Female,100,1,take,1,fair,0,4,3,receiver,1,,,
23,24,47,30,Male,100,0,give,0,stingy,1,4,4,receiver,1,,,
23,18,41,25,Male,0,0,give,0,fair,0,5,2,receiver,1,,,
29,22,51,23,Male,100,0,give,0,stingy,1,4,2,receiver,1,,,
24,17,41,43,Male,100,0,take,1,fair,0,5,3,receiver,1,,,
23,16,39,60,Male,35,7,take,1,fair,0,5,1,receiver,1,,,
16,16,32,42,Male,91,0,give,0,stingy,1,4,4,receiver,1,,,
17,16,33,31,Female,41,15,give,0,fair,0,2,3,receiver,1,,,
23,16,39,43,Female,9,55,take,1,fair,0,3,4,receiver,1,,,
18,19,37,31,Male,100,0,give,0,stingy,1,5,3,receiver,1,,,
52,57,109,41,Female,59,42,give,0,fair,0,3,4,receiver,1,,,
33,17,50,21,Male,100,0,give,0,stingy,1,3,4,receiver,1,,,
16,16,32,48,Female,44,28,give,0,fair,0,4,3,receiver,1,,,
21,17,38,31,Male,98,25,give,0,stingy,1,4,4,receiver,1,,,
19,18,37,29,Female,100,0,take,1,stingy,1,3,4,receiver,1,,,
19,18,37,22,Male,100,25,take,1,stingy,1,2,3,receiver,1,,,
16,16,32,26,Male,95,16,take,1,stingy,1,5,5,receiver,1,,,
23,16,39,31,Female,100,16,take,1,stingy,1,5,3,receiver,1,,,
45,41,86,31,Male,100,12,give,0,stingy,1,4,4,receiver,1,,,
21,16,37,26,Male,93,21,give,0,stingy,1,2,3,receiver,1,,,
34,22,56,32,Female,100,100,give,0,stingy,1,3,1,receiver,1,,,
19,16,35,27,Male,100,100,give,0,stingy,1,5,5,receiver,1,,,
16,16,32,39,Female,100,0,give,0,stingy,1,4,3,receiver,1,,,
17,16,33,27,Male,100,39,take,1,stingy,1,1,3,receiver,1,,,
37,32,69,22,Male,100,0,give,0,fair,0,5,4,receiver,1,,,
17,19,36,60,Female,91,6,give,0,stingy,1,2,4,receiver,1,,,
19,17,36,22,Female,100,69,give,0,stingy,1,4,1,receiver,1,,,
38,16,54,25,Male,100,0,take,1,stingy,1,5,4,receiver,1,,,
39,28,67,28,Male,76,5,take,1,fair,0,1,5,receiver,1,,,
26,27,53,28,Male,95,4,take,1,stingy,1,5,2,receiver,1,,,
19,17,36,34,Male,63,21,take,1,stingy,1,5,3,receiver,1,,,
30,22,52,29,Female,56,0,take,1,fair,0,5,2,receiver,1,,,
20,18,38,47,Male,98,2,give,0,stingy,1,5,2,receiver,1,,,
20,20,40,44,Female,100,99,take,1,stingy,1,5,4,receiver,1,,,
21,18,39,52,Male,61,3,give,0,fair,0,2,3,receiver,1,,,
16,16,32,62,Male,0,0,give,0,fair,0,5,2,receiver,1,,,
19,16,35,39,Male,100,0,take,1,stingy,1,2,3,receiver,1,,,
16,16,32,36,Female,100,0,take,1,stingy,1,5,1,receiver,1,,,
56,51,107,48,Male,81,27,give,0,stingy,1,4,3,receiver,1,,,
17,16,33,28,Male,29,0,give,0,fair,0,2,3,receiver,1,,,
20,16,36,31,Male,100,100,give,0,stingy,1,5,5,receiver,1,,,
29,28,57,36,Female,100,0,take,1,stingy,1,1,2,receiver,1,,,
17,18,35,74,Male,98,0,give,0,stingy,1,3,1,receiver,1,,,
