id,DG_order,sessionid,playerid,date,treatmentdg,muslim,a2,living_cond,b1,b5,b6,b15,dg_statement1,dg_statement2,type,age,rel_firstidentity,tanzania,intervdgGhana1,intervdgGhana2,intervdgGhana3,intervdgGhana4,intervdgGhana5,c_intervdgGhana6,intervdgTanz1,intervdgTanz2,intervdgTanz3,intervdgTanz4,intervdgTanz5,c_intervdgTanz6,sessionGhana1,sessionGhana2,sessionGhana3,sessionGhana4,sessionGhana5,sessionGhana6,sessionGhana7,sessionGhana8,sessionGhana9,sessionGhana10,sessionGhana11,sessionGhana12,sessionGhana13,sessionGhana14,c_sessionGhana15,sessionTanz1,sessionTanz2,sessionTanz3,sessionTanz4,sessionTanz5,sessionTanz6,sessionTanz7,sessionTanz8,sessionTanz9,sessionTanz10,sessionTanz11,sessionTanz12,sessionTanz13,sessionTanz14,c_sessionTanz15,treatDG1,treatDG2,treatDG3,state3_1,state3_2,state3_3,fdg1,fdg2,samer,discrDG,negative_discri,positive_discri,female,fraction_dg,b3,b4,b8,b9,b10,b11,b12,b13,equal,order,rounddiscr_v1
1,1,1,1,703,One true religion,yes,secondary completed,Better,A few times a week,yes,yes,yes,agree,agree,Accra,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,disagree,0,0,0.2,0.2,Same religion,No,No,0,0,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly disagree,1,1,1
1,2,1,1,703,One true religion,yes,secondary completed,Better,A few times a week,yes,yes,yes,agree,agree,Accra,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,disagree,0,0,0.2,0.2,Other religion,No,No,0,0,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly disagree,1,1,1
2,1,1,2,703,Universal love,yes,some secondary,worse,A few times a week,yes,yes,yes,disagree,agree,Accra,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.5,0.5,Same religion,No,No,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,1,1,1
2,2,1,2,703,Universal love,yes,some secondary,worse,A few times a week,yes,yes,yes,disagree,agree,Accra,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.5,0.5,Other religion,No,No,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,1,1,1
3,1,1,3,703,Control,yes,some primary,Same,About once a week,yes,yes,yes,agree,agree,Accra,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.3,0.4,Same religion,Positive,No,1,1,0.3,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,disagree,uncertain,uncertain,0,1,1
3,2,1,3,703,Control,yes,some primary,Same,About once a week,yes,yes,yes,agree,agree,Accra,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.3,0.4,Other religion,Positive,No,1,1,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,disagree,uncertain,uncertain,0,1,1
4,1,1,4,703,One true religion,yes,primary completed,worse,A few times a week,yes,yes,yes,agree,agree,Accra,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.2,0.3,Other religion,Negative,Negative,0,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,0,0,1
4,2,1,4,703,One true religion,yes,primary completed,worse,A few times a week,yes,yes,yes,agree,agree,Accra,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.2,0.3,Same religion,Negative,Negative,0,1,0.3,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,0,0,1
5,1,1,5,703,Universal love,yes,primary completed,Same,A few times a week,yes,yes,yes,agree,agree,Accra,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.4,0.4,Other religion,No,No,0,1,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,1,0,1
5,2,1,5,703,Universal love,yes,primary completed,Same,A few times a week,yes,yes,yes,agree,agree,Accra,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.4,0.4,Same religion,No,No,0,1,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,1,0,1
