_indiv,_obs,_obsind,_session,altruism,couts_money_burning,discrim_society_bis,effort,employer,envy,highcost,highcostworker,highwage,lowcost,samegroupemployer,samegrouprank,samegroupworker,treatment_RankHet,treatment_RankHom,treatment_het,treatment_hom,treatment_rand,treatment_rank,unemployed,wage,wageingroupemployer,wageother_above,wageother_below,wageother_same,worker
1,1.0,1.0,1,0.275,2.0,2.0,1.0,0,0.6111111,0.0,,0.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
1,2.0,1.0,1,0.275,2.0,2.0,1.0,0,0.6111111,0.0,,0.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
1,3.0,1.0,1,0.275,2.0,2.0,1.0,0,0.6111111,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,1.0,0.0,1
1,4.0,1.0,1,0.275,2.0,2.0,1.0,0,0.6111111,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,0.0,1.0,1
1,5.0,1.0,1,0.275,2.0,2.0,1.0,0,0.6111111,0.0,,0.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
1,6.0,1.0,1,0.275,2.0,2.0,1.0,0,0.6111111,0.0,,0.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
1,7.0,1.0,1,0.275,2.0,0.0,3.0,0,0.6111111,0.0,,1.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,1.0,0.0,1
1,8.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,1.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,0.0,1.0,1
1,9.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,0.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
1,10.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,0.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
1,11.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,1.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,1.0,0.0,1
1,12.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,1.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,0.0,1.0,1
1,13.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,0.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
1,14.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,0.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
1,15.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,1.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,1.0,0.0,1
1,16.0,1.0,1,0.275,2.0,0.0,1.0,0,0.6111111,0.0,,1.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,0.0,1.0,1
2,1.0,1.0,1,0.025,2.0,2.0,1.0,0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
2,2.0,1.0,1,0.025,2.0,2.0,1.0,0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
2,3.0,1.0,1,0.025,2.0,2.0,1.0,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,1.0,0.0,1
2,4.0,1.0,1,0.025,2.0,2.0,1.0,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,0.0,1.0,1
2,5.0,1.0,1,0.025,2.0,2.0,1.0,0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
2,6.0,1.0,1,0.025,2.0,2.0,1.0,0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
2,7.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,1.0,0.0,1
2,8.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,0.0,1.0,1
2,9.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
2,10.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
2,11.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,1.0,0.0,1
2,12.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,0.0,1.0,1
2,13.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
2,14.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
2,15.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,1.0,0.0,1
2,16.0,1.0,1,0.025,2.0,0.0,1.0,0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,0.0,1.0,1
3,1.0,1.0,1,0.0,2.0,2.0,1.0,0,0.02631579,0.0,,0.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
3,2.0,1.0,1,0.0,2.0,2.0,1.0,0,0.02631579,0.0,,0.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
3,3.0,1.0,1,0.0,2.0,2.0,1.0,0,0.02631579,0.0,,1.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,1.0,0.0,1
3,4.0,1.0,1,0.0,2.0,2.0,1.0,0,0.02631579,0.0,,1.0,1.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,0.0,1.0,1
3,5.0,1.0,1,0.0,2.0,2.0,1.0,0,0.02631579,0.0,,0.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
3,6.0,1.0,1,0.0,2.0,2.0,1.0,0,0.02631579,0.0,,0.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
3,7.0,1.0,1,0.0,2.0,0.0,1.0,0,0.02631579,0.0,,1.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,1.0,0.0,1
3,8.0,1.0,1,0.0,2.0,0.0,1.0,0,0.02631579,0.0,,1.0,1.0,0.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,32.0,0.0,0.0,0.0,1.0,1
3,9.0,1.0,1,0.0,2.0,0.0,1.0,0,0.02631579,0.0,,0.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
3,10.0,1.0,1,0.0,2.0,0.0,1.0,0,0.02631579,0.0,,0.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
3,11.0,1.0,1,0.0,2.0,0.0,2.0,0,0.02631579,0.0,,1.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,1.0,0.0,1
3,12.0,1.0,1,0.0,2.0,0.0,2.0,0,0.02631579,0.0,,1.0,1.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,32.0,1.0,0.0,0.0,1.0,1
3,13.0,1.0,1,0.0,2.0,0.0,1.0,0,0.02631579,0.0,,0.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,0.0,0.0,1.0,1
3,14.0,1.0,1,0.0,2.0,0.0,1.0,0,0.02631579,0.0,,0.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,1.0,0,16.0,0.0,1.0,0.0,0.0,1
