_indiv,_obsind,_session,highcostrank,rank,samegrouprank,treatment_RankHet,treatment_RankHom
1,1.0,1,0.0,1.0,1.0,0,1
1,1.0,1,0.0,2.0,1.0,0,1
1,1.0,1,0.0,3.0,1.0,0,1
1,1.0,1,0.0,4.0,0.0,0,1
1,1.0,1,0.0,5.0,0.0,0,1
1,1.0,1,0.0,6.0,0.0,0,1
1,1.0,1,0.0,7.0,0.0,0,1
2,1.0,1,0.0,1.0,1.0,0,1
2,1.0,1,0.0,2.0,1.0,0,1
2,1.0,1,0.0,3.0,1.0,0,1
2,1.0,1,0.0,4.0,0.0,0,1
2,1.0,1,0.0,5.0,0.0,0,1
2,1.0,1,0.0,6.0,0.0,0,1
2,1.0,1,0.0,7.0,0.0,0,1
3,1.0,1,0.0,1.0,1.0,0,1
3,1.0,1,0.0,2.0,1.0,0,1
3,1.0,1,0.0,3.0,1.0,0,1
3,1.0,1,0.0,4.0,0.0,0,1
3,1.0,1,0.0,5.0,0.0,0,1
3,1.0,1,0.0,6.0,0.0,0,1
3,1.0,1,0.0,7.0,0.0,0,1
4,1.0,1,0.0,1.0,1.0,0,1
4,1.0,1,0.0,2.0,1.0,0,1
4,1.0,1,0.0,3.0,1.0,0,1
4,1.0,1,0.0,4.0,0.0,0,1
4,1.0,1,0.0,5.0,0.0,0,1
4,1.0,1,0.0,6.0,0.0,0,1
4,1.0,1,0.0,7.0,0.0,0,1
5,1.0,1,0.0,1.0,1.0,0,1
5,1.0,1,0.0,2.0,1.0,0,1
5,1.0,1,0.0,3.0,1.0,0,1
5,1.0,1,0.0,4.0,0.0,0,1
5,1.0,1,0.0,5.0,0.0,0,1
5,1.0,1,0.0,6.0,0.0,0,1
5,1.0,1,0.0,7.0,0.0,0,1
6,1.0,1,0.0,1.0,1.0,0,1
6,1.0,1,0.0,2.0,1.0,0,1
6,1.0,1,0.0,3.0,1.0,0,1
6,1.0,1,0.0,4.0,0.0,0,1
6,1.0,1,0.0,5.0,0.0,0,1
6,1.0,1,0.0,6.0,0.0,0,1
6,1.0,1,0.0,7.0,0.0,0,1
7,1.0,1,0.0,1.0,1.0,0,1
7,1.0,1,0.0,2.0,1.0,0,1
7,1.0,1,0.0,3.0,1.0,0,1
7,1.0,1,0.0,4.0,0.0,0,1
7,1.0,1,0.0,5.0,0.0,0,1
7,1.0,1,0.0,6.0,0.0,0,1
7,1.0,1,0.0,7.0,0.0,0,1
8,1.0,1,0.0,1.0,1.0,0,1
8,1.0,1,0.0,2.0,1.0,0,1
8,1.0,1,0.0,3.0,1.0,0,1
8,1.0,1,0.0,4.0,0.0,0,1
8,1.0,1,0.0,5.0,0.0,0,1
8,1.0,1,0.0,6.0,0.0,0,1
8,1.0,1,0.0,7.0,0.0,0,1
9,2.0,1,0.0,1.0,1.0,0,1
9,2.0,1,0.0,2.0,1.0,0,1
9,2.0,1,0.0,3.0,1.0,0,1
9,2.0,1,0.0,4.0,0.0,0,1
9,2.0,1,0.0,5.0,0.0,0,1
9,2.0,1,0.0,6.0,0.0,0,1
9,2.0,1,0.0,7.0,0.0,0,1
10,2.0,1,0.0,1.0,1.0,0,1
10,2.0,1,0.0,2.0,1.0,0,1
10,2.0,1,0.0,3.0,1.0,0,1
10,2.0,1,0.0,4.0,0.0,0,1
10,2.0,1,0.0,5.0,0.0,0,1
10,2.0,1,0.0,6.0,0.0,0,1
10,2.0,1,0.0,7.0,0.0,0,1
11,2.0,1,0.0,1.0,1.0,0,1
11,2.0,1,0.0,2.0,1.0,0,1
11,2.0,1,0.0,3.0,1.0,0,1
