_indiv,_obs,_obsind,burn,burn2,burn_group,burn_oncetarget,cost_money_burning,envy,gaintarget,highcost,highcosttarget,line_burnall,lowcosthighcost,samegrouptarget,statuttarget_employer,treatment,treatment_RankHet,treatment_het,treatment_rank
5,1,5,0,1,1,0,1,0.4090909,16,0,0,1,0,0,1,RankHom,0,0,1
5,2,5,0,1,1,0,1,0.4090909,16,0,0,1,0,0,1,RankHom,0,0,1
5,3,5,0,1,1,0,1,0.4090909,5,0,0,1,0,0,0,RankHom,0,0,1
5,4,5,0,1,1,0,1,0.4090909,5,0,0,1,0,0,0,RankHom,0,0,1
5,5,5,0,1,1,0,1,0.4090909,5,0,0,1,0,1,0,RankHom,0,0,1
5,6,5,0,1,1,0,1,0.4090909,5,0,0,1,0,1,0,RankHom,0,0,1
5,7,5,1,1,1,0,1,0.4090909,,0,0,1,0,,,RankHom,0,0,1
6,1,6,1,1,0,1,1,1.5,16,0,0,0,0,1,1,RankHom,0,0,1
6,2,6,0,0,0,1,1,1.5,16,0,0,0,0,1,1,RankHom,0,0,1
6,3,6,0,0,0,1,1,1.5,16,0,0,0,0,0,0,RankHom,0,0,1
6,4,6,0,0,0,1,1,1.5,16,0,0,0,0,0,0,RankHom,0,0,1
6,5,6,0,0,0,1,1,1.5,16,0,0,0,0,0,0,RankHom,0,0,1
6,6,6,0,0,0,1,1,1.5,5,0,0,0,0,0,0,RankHom,0,0,1
6,7,6,0,0,0,1,1,1.5,,0,0,0,0,,,RankHom,0,0,1
10,1,10,0,0,0,0,0,4.5,17,0,0,0,0,1,1,RankHom,0,0,1
10,2,10,0,0,0,0,0,4.5,11,0,0,0,0,1,1,RankHom,0,0,1
10,3,10,0,0,0,0,0,4.5,16,0,0,0,0,1,0,RankHom,0,0,1
10,4,10,0,0,0,0,0,4.5,5,0,0,0,0,0,0,RankHom,0,0,1
10,5,10,0,0,0,0,0,4.5,5,0,0,0,0,0,0,RankHom,0,0,1
10,6,10,0,0,0,0,0,4.5,5,0,0,0,0,0,0,RankHom,0,0,1
10,7,10,0,0,0,0,0,4.5,,0,0,0,0,,,RankHom,0,0,1
15,1,15,0,0,0,0,0,0,11,0,0,0,0,0,1,RankHom,0,0,1
15,2,15,0,0,0,0,0,0,16,0,0,0,0,0,1,RankHom,0,0,1
15,3,15,0,0,0,0,0,0,17,0,0,0,0,0,0,RankHom,0,0,1
15,4,15,0,0,0,0,0,0,11,0,0,0,0,0,0,RankHom,0,0,1
15,5,15,0,0,0,0,0,0,16,0,0,0,0,0,0,RankHom,0,0,1
15,6,15,0,0,0,0,0,0,5,0,0,0,0,0,0,RankHom,0,0,1
15,7,15,0,0,0,0,0,0,,0,0,0,0,,,RankHom,0,0,1
22,1,22,0,0,0,0,0,2.8333333,32,0,0,0,0,1,1,RankHom,0,0,1
22,2,22,0,0,0,0,0,2.8333333,11,0,0,0,0,0,1,RankHom,0,0,1
22,3,22,0,0,0,0,0,2.8333333,6,0,0,0,0,0,0,RankHom,0,0,1
