PersonID,Condition,PrePostDepletion,Mean Consumption,Rounds,Starting value,Knows Opp,Friends,Knows Friends,Profit,Total Profit
1,0,0,30,5,1,0,0,0,287.3,287.3
1,0,1,4,2,1,0,0,0,40,327.3
2,0,0,22.2,5,1,0,0,0,212.6,212.6
2,0,1,6,2,1,0,0,0,60,272.6
3,0,0,8.83,6,1,0,0,0,283.9,283.9
3,0,1,2.83,6,1,0,0,0,71.75,355.65
4,0,0,9.83,6,1,0,0,0,316,316
4,0,1,9,6,1,0,0,0,228.2,544.2
5,0,0,23.6,3,1,1,1,2,145.6,145.6
5,0,1,3,1,1,1,1,2,4.5,150.1
6,0,0,25,3,1,1,1,2,154.3,154.3
6,0,1,30,1,1,1,1,2,45.45,199.75
7,0,0,40,1,1,0,0,0,80,80
7,0,1,24.75,4,1,0,0,0,137.5,217.5
8,0,0,10,1,1,0,0,0,20,20
8,0,1,11.25,4,1,0,0,0,62.5,82.5
9,0,0,22.6,3,1,1,1,2,139.5,139.5
9,0,1,5.83,6,1,1,1,2,69.95,209.45
10,0,0,26,3,1,1,1,2,160.4,160.4
10,0,1,19.16,6,1,1,1,2,230,390.4
11,0,0,26,5,1,0,1,1,276.5,276.5
11,0,1,2.88,8,1,0,1,1,167.4,443.9
12,0,0,21,5,1,0,1,1,223.4,223.4
12,0,1,4,8,1,0,1,1,232.55,455.95
13,0,0,25,4,1,0,0,0,229.8,229.8
13,0,1,4.66,3,1,0,0,0,72.35,302.15
14,0,0,18.5,4,1,0,0,0,170.1,170.1
14,0,1,5,3,1,0,0,0,77.6,247.7
15,0,0,13.6,5,1,1,1,2,139.9,139.9
15,0,1,2.6,3,1,1,1,2,47.55,187.45
16,0,0,35,5,1,1,1,2,360,360
16,0,1,5.6,3,1,1,1,2,102.4,462.4
17,0,0,20,5,1,0,0,0,144.9,144.9
17,0,1,3.75,4,1,0,0,0,85.7,230.6
18,0,0,49,5,1,0,0,0,355,355
18,0,1,5,4,1,0,0,0,114.25,469.25
19,0,0,60,1,1,1,1,2,44.4,44.4
19,0,1,0,0,1,1,1,2,0,44.4
20,0,0,75,1,1,1,1,2,55.5,55.5
20,0,1,0,0,1,1,1,2,0,55.5
21,0,0,20,1,1,0,0,0,21.7,21.7
21,0,1,3.5,2,1,0,0,0,77.75,99.45
22,0,0,72,1,1,0,0,0,78.2,78.2
22,0,1,1,2,1,0,0,0,22.2,100.4
23,0,0,30,1,1,0,0,0,31.9,31.9
23,0,1,6,1,1,0,0,0,25,56.9
24,0,0,64,1,1,0,0,0,68,68
24,0,1,6,1,1,0,0,0,25,93
25,0,0,25,1,1,1,1,2,40.3,40.3
25,0,1,9,3,1,1,1,2,65.5,105.8
26,0,0,37,1,1,1,1,2,59.6,59.6
26,0,1,11.6,3,1,1,1,2,84.45,144.05
27,0,0,29.5,2,1,0,0,0,88.7,88.7
27,0,1,2.5,2,1,0,0,0,41.65,130.35
28,0,0,37,2,1,0,0,0,111.2,111.2
28,0,1,3.5,2,1,0,0,0,58.3,169.5
29,0,0,40,1,1,1,1,2,61.5,61.5
29,0,1,33,1,1,1,1,2,40.2,101.7
30,0,0,25,1,1,1,1,2,38.4,38.4
30,0,1,8,1,1,1,1,2,9.75,48.15
31,0,0,30,1,1,1,1,2,50,50
31,0,1,10.6,3,1,1,1,2,78.7,128.7
32,0,0,30,1,1,1,1,2,50,50
32,0,1,9.6,3,1,1,1,2,71.25,121.25
33,0,0,31,3,1,1,1,2,197.8,197.8
33,0,1,5.5,4,1,1,1,2,137.5,335.3
34,0,0,16,3,1,1,1,2,102.1,102.1
34,0,1,2.5,4,1,1,1,2,62.5,164.6
35,0,0,27.5,2,1,1,1,2,108.9,108.9
35,0,1,9.3,3,1,1,1,2,93.6,202.5
36,0,0,23,2,1,1,1,2,91,91
36,0,1,5.6,3,1,1,1,2,56.35,147.35
37,0,0,38.3,3,1,1,1,2,188.6,188.6
37,0,1,0,0,1,1,1,2,0,188.6
38,0,0,22.6,3,1,1,1,2,111.3,111.3
38,0,1,0,0,1,1,1,2,0,111.3
39,0,0,41,1,1,1,1,2,62.1,62.1
39,0,1,20,1,1,1,1,2,25,87.1
40,0,0,25,1,1,1,1,2,37.8,37.8
40,0,1,20,1,1,1,1,2,25,62.8
41,0,0,25,1,1,0,0,0,35.7,35.7
41,0,1,8.3,3,1,0,0,0,83.55,119.25
42,0,0,45,1,1,0,0,0,64.2,64.2
42,0,1,6.6,3,1,0,0,0,66.4,130.6
43,0,0,30,1,1,0,0,0,37.5,37.5
43,0,1,7.5,2,1,0,0,0,37.5,75
44,0,0,50,1,1,0,0,0,62.5,62.5
44,0,1,12.5,2,1,0,0,0,62.5,125
45,0,0,40,1,1,1,1,2,50,50
45,0,1,4.5,2,1,1,1,2,42.85,92.85
46,0,0,40,1,1,1,1,2,50,50
46,0,1,6,2,1,1,1,2,57.1,107.1
47,0,0,30,1,1,0,0,0,42.8,42.8
47,0,1,7.5,2,1,0,0,0,46.85,89.65
48,0,0,40,1,1,0,0,0,57.1,57.1
48,0,1,8.5,2,1,0,0,0,53.1,110.2
49,0,0,21.6,3,1,0,0,0,131.7,131.7
49,0,1,2.6,3,1,0,0,0,62.9,194.6
50,0,0,27.6,3,1,0,0,0,168.2,168.2
50,0,1,3.6,3,1,0,0,0,87.05,255.25
51,0,0,23.25,4,1,1,1,2,187.8,187.8
51,0,1,1.5,2,1,1,1,2,37.5,225.3
52,0,0,26.25,4,1,1,1,2,212.1,212.1
52,0,1,2.5,2,1,1,1,2,62.5,274.6
53,0,0,13.3,3,1,0,0,0,114.3,114.3
53,0,1,20,1,1,0,0,0,20,134.3
54,0,0,21.6,3,1,0,0,0,185.6,185.6
54,0,1,30,1,1,0,0,0,30,215.6
55,0,0,17.5,2,1,0,1,1,73.6,73.6
