PersonID,Condition,PrePostDepletion,Mean Consumption,Rounds,Starting value,Knows Opp,Friends,Knows Friends
1,0,1,4,2,1,0,0,0
2,0,1,6,2,1,0,0,0
3,0,1,2.83,6,1,0,0,0
4,0,1,9,6,1,0,0,0
5,0,1,3,1,1,1,1,2
6,0,1,30,1,1,1,1,2
7,0,1,24.75,4,1,0,0,0
8,0,1,11.25,4,1,0,0,0
9,0,1,5.83,6,1,1,1,2
10,0,1,19.16,6,1,1,1,2
11,0,1,2.88,8,1,0,1,1
12,0,1,4,8,1,0,1,1
13,0,1,4.66,3,1,0,0,0
14,0,1,5,3,1,0,0,0
15,0,1,2.6,3,1,1,1,2
16,0,1,5.6,3,1,1,1,2
17,0,1,3.75,4,1,0,0,0
18,0,1,5,4,1,0,0,0
19,0,1,,0,1,1,1,2
20,0,1,,0,1,1,1,2
21,0,1,3.5,2,1,0,0,0
22,0,1,1,2,1,0,0,0
23,0,1,6,1,1,0,0,0
24,0,1,6,1,1,0,0,0
25,0,1,9,3,1,1,1,2
26,0,1,11.6,3,1,1,1,2
27,0,1,2.5,2,1,0,0,0
28,0,1,3.5,2,1,0,0,0
29,0,1,33,1,1,1,1,2
30,0,1,8,1,1,1,1,2
31,0,1,10.6,3,1,1,1,2
32,0,1,9.6,3,1,1,1,2
33,0,1,5.5,4,1,1,1,2
34,0,1,2.5,4,1,1,1,2
35,0,1,9.3,3,1,1,1,2
36,0,1,5.6,3,1,1,1,2
37,0,1,,0,1,1,1,2
38,0,1,,0,1,1,1,2
39,0,1,20,1,1,1,1,2
40,0,1,20,1,1,1,1,2
41,0,1,8.3,3,1,0,0,0
42,0,1,6.6,3,1,0,0,0
43,0,1,7.5,2,1,0,0,0
44,0,1,12.5,2,1,0,0,0
45,0,1,4.5,2,1,1,1,2
46,0,1,6,2,1,1,1,2
47,0,1,7.5,2,1,0,0,0
48,0,1,8.5,2,1,0,0,0
49,0,1,2.6,3,1,0,0,0
50,0,1,3.6,3,1,0,0,0
51,0,1,1.5,2,1,1,1,2
52,0,1,2.5,2,1,1,1,2
53,0,1,20,1,1,0,0,0
54,0,1,30,1,1,0,0,0
55,0,1,5.6,5,1,0,1,1
56,0,1,3.4,5,1,0,1,1
57,0,1,1.3,3,1,1,1,2
58,0,1,2.3,3,1,0,1,1
59,0,1,11.75,4,1,0,0,0
60,0,1,8.25,4,1,0,0,0
63,0,1,10.6,3,1,1,1,2
64,0,1,5,3,1,1,1,2
65,0,1,40,1,1,1,1,2
66,0,1,15,1,1,1,1,2
67,0,1,10,1,1,1,1,2
68,0,1,30,1,1,1,1,2
69,0,1,17.5,2,1,1,1,2
70,0,1,17.5,2,1,1,1,2
71,0,1,15,1,1,1,1,2
72,0,1,20,1,1,1,1,2
73,0,1, ,0,1,0,0,0
74,0,1, ,0,1,0,0,0
75,0,1,2.3,3,1,0,0,0
76,0,1,14,3,1,0,0,0
77,0,1, ,0,1,1,1,2
78,0,1, ,0,1,1,1,2
79,0,1,2.5,4,1,0,0,0
80,0,1,7.75,4,1,0,0,0
81,0,1,7.2,5,1,1,1,2
82,0,1,1.29,5,1,1,1,2
83,0,1,10,1,1,0,0,0
84,0,1,40,1,1,0,0,0
85,0,1,3,7,1,1,1,2
86,0,1,5.14,7,1,1,1,2
87,0,1,11.6,3,1,1,1,2
88,0,1,2,3,1,1,1,2
89,0,1,4.6,5,1,0,0,0
90,0,1,3.8,5,1,0,0,0
91,0,1,35,1,1,1,1,2
92,0,1,10,1,1,1,1,2
93,0,1,2,2,1,0,0,0
94,0,1,6,2,1,0,0,0
95,0,1,4.16,6,1,0,0,0
96,0,1,6.6,6,1,0,0,0
97,0,1, ,0,1,1,1,2
98,0,1, ,0,1,1,1,2
99,0,1,7.25,4,1,0,0,0
100,0,1,2.75,4,1,0,0,0
101,0,1,8.5,2,1,1,1,2
102,0,1,11.5,2,1,1,1,2
103,0,1,11.5,2,1,1,1,2
104,0,1,12.5,2,1,0,0,0
105,0,1,14,2,1,0,0,0
106,0,1,13.5,2,1,0,0,0
107,0,1,3,1,1,1,1,2
108,0,1,2,1,1,1,1,2
109,0,1,20,1,1,1,1,2
110,0,1,45,1,1,1,1,2
111,0,1,4,2,1,1,1,2
112,0,1,6,2,1,1,1,2
113,0,1,5.5,4,1,0,0,0
114,0,1,6.25,4,1,0,0,0
117,1,1,8.5,2,2,1,1,2
118,1,1,6,2,2,1,1,2
119,1,1, ,0,0,0,1,1
120,1,1, ,0,0,0,1,1
121,1,1, ,0,0,0,1,1
122,1,1, ,0,0,0,1,1
123,1,1,30,1,0,0,0,0
124,1,1,38,1,0,0,0,0
125,1,1,20,1,0,1,1,2
126,1,1,12,1,0,1,1,2
127,1,1,15,1,0,0,0,0
128,1,1,25,1,0,0,0,0
129,1,1,10,2,2,0,0,0
130,1,1,17.5,2,2,0,0,0
131,1,1,2,1,2,0,0,0
132,1,1,5,1,2,0,1,1
133,1,1, ,0,0,1,1,2
134,1,1, ,0,0,1,1,2
135,1,1, ,0,0,1,1,2
136,1,1, ,0,0,1,1,2
137,1,1,3.86,14,2,0,0,0
138,1,1,4.62,14,2,0,0,0
139,1,1,6.8,5,0,1,1,2
140,1,1,2.2,5,0,1,1,2
143,1,1,15,1,2,0,0,0
144,1,1,12,1,2,0,0,0
145,1,1,1.6,6,2,0,0,0
146,1,1,7.6,6,2,0,0,0
147,1,1, ,0,0,1,1,2
148,1,1, ,0,0,1,1,2
149,1,1,2.66,3,0,0,0,0
150,1,1,6,3,0,0,0,0
151,1,1,12.5,2,2,1,1,2
152,1,1,17.5,2,2,1,1,2
155,1,1,5.08,8,2,1,1,2
156,1,1,6.69,8,2,1,1,2
157,1,1,3.66,3,2,0,0,0
158,1,1,6.66,3,2,0,0,0
159,1,1, ,0,0,0,0,0
160,1,1, ,0,0,0,1,1
161,1,1,20,1,2,0,0,0
162,1,1,20,1,2,0,0,0
163,1,1,10,1,0,0,0,0
164,1,1,10,1,0,0,0,0
169,1,1, ,0,2,1,1,2
170,1,1, ,0,2,1,1,2
171,1,1, ,0,0,0,0,0
172,1,1, ,0,0,0,0,0
173,1,1,10,1,2,0,0,0
174,1,1,25,1,2,0,0,0
179,1,1,7.5,2,2,1,1,2
180,1,1,12.5,2,2,1,1,2
181,1,1,3.5,2,2,0,0,0
182,1,1,16.5,2,2,0,0,0
