PersonID,Condition,PrePostDepletion,Mean Consumption,Rounds,Starting value,Knows Opp,Friends,Knows Friends
117,1,0,70,1,2,1,1,2
118,1,0,20,1,2,1,1,2
119,1,0,30,1,0,0,1,1
120,1,0,70,1,0,0,1,1
121,1,0,50,1,0,0,1,1
122,1,0,50,1,0,0,1,1
123,1,0,6,2,0,0,0,0
124,1,0,31,2,0,0,0,0
125,1,0,25,1,0,1,1,2
126,1,0,30,1,0,1,1,2
127,1,0,13.3,3,0,0,0,0
128,1,0,18.3,3,0,0,0,0
129,1,0,22.5,4,2,0,0,0
130,1,0,28.75,4,2,0,0,0
131,1,0,40,1,2,0,0,0
132,1,0,70,1,2,0,1,1
133,1,0,45,2,0,1,1,2
134,1,0,20,2,0,1,1,2
135,1,0,50,3,0,1,1,2
136,1,0,47,3,0,1,1,2
137,1,0,25,3,2,0,0,0
138,1,0,35,3,2,0,0,0
139,1,0,35,1,0,1,1,2
140,1,0,20,1,0,1,1,2
143,1,0,47.5,2,2,0,0,0
144,1,0,24,2,2,0,0,0
145,1,0,3,1,2,0,0,0
146,1,0,85,1,2,0,0,0
147,1,0,80,1,0,1,1,2
148,1,0,60,1,0,1,1,2
149,1,0,12.5,2,0,0,0,0
150,1,0,32.5,2,0,0,0,0
151,1,0,40,1,2,1,1,2
152,1,0,25,1,2,1,1,2
155,1,0,28.75,4,2,1,1,2
156,1,0,23.75,4,2,1,1,2
157,1,0,60,1,2,0,0,0
158,1,0,30,1,2,0,0,0
159,1,0,40,1,0,0,0,0
160,1,0,40,1,0,0,1,1
161,1,0,23.3,3,2,0,0,0
162,1,0,33.3,3,2,0,0,0
163,1,0,30,2,0,0,0,0
164,1,0,17.5,2,0,0,0,0
169,1,0,120,1,2,1,1,2
170,1,0,60,1,2,1,1,2
171,1,0,95,1,0,0,0,0
172,1,0,60,1,0,0,0,0
173,1,0,40,1,2,0,0,0
174,1,0,45,1,2,0,0,0
179,1,0,36.6,3,2,1,1,2
180,1,0,8.6,3,2,1,1,2
181,1,0,15,1,2,0,0,0
182,1,0,60,1,2,0,0,0
117,1,1,8.5,2,2,1,1,2
118,1,1,6,2,2,1,1,2
119,1,1, ,0,0,0,1,1
120,1,1, ,0,0,0,1,1
121,1,1, ,0,0,0,1,1
122,1,1, ,0,0,0,1,1
123,1,1,30,1,0,0,0,0
124,1,1,38,1,0,0,0,0
125,1,1,20,1,0,1,1,2
126,1,1,12,1,0,1,1,2
127,1,1,15,1,0,0,0,0
128,1,1,25,1,0,0,0,0
129,1,1,10,2,2,0,0,0
130,1,1,17.5,2,2,0,0,0
131,1,1,2,1,2,0,0,0
132,1,1,5,1,2,0,1,1
133,1,1, ,0,0,1,1,2
134,1,1, ,0,0,1,1,2
135,1,1, ,0,0,1,1,2
136,1,1, ,0,0,1,1,2
137,1,1,3.86,14,2,0,0,0
138,1,1,4.62,14,2,0,0,0
139,1,1,6.8,5,0,1,1,2
140,1,1,2.2,5,0,1,1,2
143,1,1,15,1,2,0,0,0
144,1,1,12,1,2,0,0,0
145,1,1,1.6,6,2,0,0,0
146,1,1,7.6,6,2,0,0,0
147,1,1, ,0,0,1,1,2
148,1,1, ,0,0,1,1,2
149,1,1,2.66,3,0,0,0,0
150,1,1,6,3,0,0,0,0
151,1,1,12.5,2,2,1,1,2
152,1,1,17.5,2,2,1,1,2
155,1,1,5.08,8,2,1,1,2
156,1,1,6.69,8,2,1,1,2
157,1,1,3.66,3,2,0,0,0
158,1,1,6.66,3,2,0,0,0
159,1,1, ,0,0,0,0,0
160,1,1, ,0,0,0,1,1
161,1,1,20,1,2,0,0,0
162,1,1,20,1,2,0,0,0
163,1,1,10,1,0,0,0,0
164,1,1,10,1,0,0,0,0
169,1,1, ,0,2,1,1,2
170,1,1, ,0,2,1,1,2
171,1,1, ,0,0,0,0,0
172,1,1, ,0,0,0,0,0
173,1,1,10,1,2,0,0,0
174,1,1,25,1,2,0,0,0
179,1,1,7.5,2,2,1,1,2
180,1,1,12.5,2,2,1,1,2
181,1,1,3.5,2,2,0,0,0
182,1,1,16.5,2,2,0,0,0
