sessionid,period,subject,group,profit,totalprofit,participate,family,id,attempt,bankrpt,earned,format,move,multiply,pass,private,public,rank,test,total,answer1,answer2,history1,history2,history3,history4,response1,response2,v62,quota,quotaf,rankdraw,session,treatment,cmu,zurich,oldquiz,Quiz,Entry,HighGroup,QuizXEntry,QuizBQuota,SubjectID,GroupID,Family,GroupPeriodID,Period10Min,GroupSize,MinPublic,GroupDummy,MovePeriod,PriorToMove3,AfterMove3,PriorToMove1,AfterMove1,Incumbent,IncXEntry,IncXQuiz,IncXQuizXEntry,IncXQuizBQuota,MinPublicLastPeriod,PublicMinusLastMin,NumberMove,Last10MedianMinimum,MaxGroupSize,Phase2,QuizP2,EntryP2,QuizXEntryP2,QuizBQuotaP2,HighXGroupSize,HighXperiod,HighXPhase2,HighXEntry,HighXQuiz,HighXQuizXEntry,HighXQuizBQuota,HighXQuizP2,HighXEntryP2,HighXQuizXEntryP2,HighXQuizBQuotaP2,InitHigh,subjper,ContLag3,ContLag2,ContLag1,ContLead1,ContLead2,Contrib3Before,Contrib3After,Contrib1Before,Contrib1After,Mover3Dif,Mover1Dif,Contrib3BeforeInc,Contrib3AfterInc,Contrib1BeforeInc,Contrib1AfterInc,Inc3Dif,Inc1Dif,sessfam,Stage1Avg,Stage1Min,P10Minimum,LowMin10,HighMin10,omitted
140516_0946,11,2,2,24.135242,321.42847,0,1,1,0,0,24.135242,-1,0,7.1352425,-1,6,1,6,-1,1,-1.0,-1.0,4,5,5,14,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,102.0,101.0,10211.0,1.0,2.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.11,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,10.1,2.8666666,0.0,1.0,,,
080402_1329,23,10,1,27.669676,563.25165,0,1,6,-1,0,27.669676,-1,0,10.669677,-1,6,1,2,-1,1,-1.0,-1.0,0,3,4,7,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,210.0,21.0,21.0,2123.0,0.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,10.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210.23,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,2.1,4.1,2.0,0.0,,,1.0
140516_0946,16,4,1,-1.027262,268.59894,0,1,2,-1,0,-1.027262,-1,0,10.669677,-1,1,6,1,-1,1,-1.0,-1.0,2,2,2,6,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1004.0,101.0,101.0,10116.0,6.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1004.16,6.0,6.0,6.0,5.0,4.0,,,,,,,,,,,,,10.1,2.8666666,0.0,6.0,,,
080402_1329,10,11,4,21.0,270.35278,0,2,5,-1,0,21.0,-1,0,10.090757,-1,7,0,6,-1,0,-1.0,-1.0,0,5,6,11,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.0,24.0,22.0,2410.0,0.0,8.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.1,0.0,1.0,0.0,7.0,1.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,0.0,5.0,
080402_1329,2,13,1,38.812878,119.12497,0,1,7,-1,0,38.812878,-1,0,10.669677,-1,4,3,-1,-1,3,-1.0,-1.0,1,4,-1,-1,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,21.0,21.0,2102.0,,10.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,213.02,,,6.0,2.0,4.0,,,,,,,,,,,,,2.1,4.1,2.0,2.0,,,1.0
080402_1329,13,11,3,17.0,314.00406,0,2,5,-1,0,17.0,-1,0,9.390508,-1,6,1,6,-1,0,-1.0,-1.0,0,5,6,11,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,211.0,23.0,22.0,2313.0,5.0,6.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.13,0.0,7.0,1.0,0.0,0.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
080402_1329,18,11,3,21.0,419.00406,0,2,5,-1,0,21.0,-1,0,9.390508,-1,7,0,6,-1,0,-1.0,-1.0,0,5,6,11,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,211.0,23.0,22.0,2318.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.18,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
080402_1329,21,11,3,21.0,482.00406,0,2,5,-1,0,21.0,-1,0,9.390508,-1,7,0,6,-1,0,-1.0,-1.0,0,5,6,11,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,211.0,23.0,22.0,2321.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,6.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
080402_1329,22,11,3,21.0,503.00406,0,2,5,-1,0,21.0,-1,0,9.390508,-1,7,0,6,-1,0,-1.0,-1.0,0,5,6,11,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,211.0,23.0,22.0,2322.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,6.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
090216_1334,22,2,3,21.0,484.85312,0,2,1,-1,0,21.0,-1,0,10.090757,-1,7,0,3,-1,0,-1.0,-1.0,3,4,2,9,-1,-1,,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,402.0,43.0,42.0,4322.0,3.0,8.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,8.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4.2,3.0333333,0.0,0.0,,,
140516_0946,23,4,1,11.669677,344.10632,0,1,2,-1,0,11.669677,-1,0,10.669677,-1,3,4,1,-1,1,-1.0,-1.0,2,2,2,6,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1004.0,101.0,101.0,10123.0,6.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,10.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1004.23,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,10.1,2.8666666,0.0,6.0,,,
080402_1329,1,12,3,33.510925,93.510925,0,2,6,-1,0,33.510925,-1,0,10.669677,-1,5,2,-1,-1,2,-1.0,-1.0,5,-1,-1,-1,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,212.0,23.0,22.0,2301.0,,10.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,212.01,,,,2.0,2.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
090216_1334,1,3,3,22.339354,82.339355,0,2,2,-1,0,22.339354,-1,0,10.669677,-1,3,4,-1,-1,2,-1.0,-1.0,3,-1,-1,-1,-1,-1,,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,43.0,42.0,4301.0,,10.0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,403.01,,,,5.0,3.0,,,,,,,,,,,,,4.2,3.0333333,0.0,3.0,,,
080402_1329,8,12,4,21.0,254.21619,0,2,6,-1,0,21.0,-1,0,10.090757,-1,7,0,10,-1,0,-1.0,-1.0,5,5,5,15,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,212.0,24.0,22.0,2408.0,,8.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.08,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
140516_0946,21,20,3,27.669676,616.5349,0,2,7,-1,0,27.669676,-1,0,10.669677,-1,6,1,9,-1,1,-1.0,-1.0,5,5,5,15,-1,-1,,,,,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1020.0,103.0,102.0,10321.0,7.0,10.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.21,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,10.2,2.6,1.0,1.0,,,
080402_1329,14,12,3,21.0,364.01123,0,2,6,-1,0,21.0,-1,0,9.390508,-1,7,0,10,-1,0,-1.0,-1.0,5,5,5,15,-1,-1,,,,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,212.0,23.0,22.0,2314.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.14,5.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,2.2,3.3333333,1.0,0.0,,,
