CaseNumber,IPAddress,DurationInMins,GroupSize,Mechanism,Cooperation,ExpCo,Nother,ExpCoP,PercEffi,conflict1,conflict2,conflict2r,conflict3,conflict4,conflict4r,conflict5,conflict6,conflict6r,Conflict,IR1_Q1,IR1_Q2,IR2_Q1,IR2_Q2,IR3_Q1,IR3_Q2,IR4_Q1,IR4_Q2,PunishQ1_1,PunishQ1_2,PunishQ1_3,PunishQ1_4,PunishQ2_1,PunishQ2_2,PunishQ2_3,PunishQ2_4,PunishQ3_1,PunishQ3_2,PunishQ3_3,PunishQ3_4,PunishQ4_1,PunishQ4_2,PunishQ4_3,PunishQ4_4,Age,Gender
1,152.208.30.34,45.5,40-person group,reputation,contribute 20,35,39,0.8974358974358975,6,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,1.8333333333333333,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,47,Female
2,75.35.24.7,38.4,40-person group,control,contribute 0,20,39,0.5128205128205128,2,"neutral
3
","slightly disagree
2
",4,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,24,Female
3,108.238.235.180,35.61666666666667,20-person group,punishment,contribute 0,10,19,0.5263157894736842,4,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,3,,,,,,,,,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,30,Female
4,142.129.44.30,35.25,40-person group,reputation,contribute 20,30,39,0.7692307692307693,5,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,2.8333333333333335,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,29,Female
5,67.190.244.207,33.8,40-person group,punishment,contribute 20,10,39,0.2564102564102564,6,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.3333333333333335,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,39,Male
6,151.213.145.3,32.983333333333334,20-person group,punishment,contribute 20,10,19,0.5263157894736842,6,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","completely agree
5
",1,1.5,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,28,Female
7,67.174.66.252,32.21666666666667,40-person group,reputation,contribute 20,35,39,0.8974358974358975,7,"neutral
3
","completely agree
5
",1,"slightly agree
4
","completely agree
5
",1,"neutral
3
","neutral
3
",3,2.5,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,41,Female
8,73.124.28.167,31.4,4-person group,reputation,contribute 20,1,3,0.3333333333333333,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,27,Male
9,174.103.235.181,31.35,4-person group,punishment,contribute 20,2,3,0.6666666666666666,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","neutral
3
",3,2.3333333333333335,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,3,3,3,1,36,Female
10,107.139.92.71,29.783333333333335,40-person group,punishment,contribute 20,0,39,0,7,"neutral
3
","slightly disagree
2
",4,"completely disagree
1
","slightly disagree
2
",4,"neutral
3
","neutral
3
",3,3,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,30,Male
11,108.35.1.219,29.4,20-person group,control,contribute 20,6,19,0.3157894736842105,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,39,Male
12,103.255.4.76,28.483333333333334,40-person group,punishment,contribute 0,1,39,0.02564102564102564,4,"neutral
3
","slightly agree
4
",2,"completely agree
5
","completely agree
5
",1,"neutral
3
","neutral
3
",3,2.8333333333333335,,,,,,,,,4,2,4,0,3,5,2,0,8,1,1,0,3,3,4,0,38,Female
13,108.199.100.251,28.366666666666667,4-person group,punishment,contribute 20,2,3,0.6666666666666666,6,"slightly disagree
2
","completely agree
5
",1,"neutral
3
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.6666666666666667,,,,,,,,,0,0,0,10,0,0,0,10,0,2,2,6,0,0,0,10,25,Male
14,124.121.25.251,28.133333333333333,20-person group,reputation,contribute 20,19,19,1,7,"completely disagree
1
","completely agree
5
",1,"completely agree
5
","completely agree
5
",1,"completely agree
5
","completely agree
5
",1,2.3333333333333335,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,I choose no one,,,,,,,,,,,,,,,,,,36,Female
15,50.39.162.245,27.666666666666668,40-person group,reputation,contribute 0,5,39,0.1282051282051282,2,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,3.5,Member 3 (contribute 20 tokens),0 tokens,Member 3 (contribute 0 tokens),0 tokens,Member 3 (contribute 0 tokens),0 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,37,Female
16,66.169.138.220,26.8,4-person group,reputation,contribute 20,3,3,1,7,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.5,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,53,Female
17,174.230.134.200,25.95,40-person group,reputation,contribute 20,25,39,0.6410256410256411,3,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,29,Male
18,71.199.154.116,25.45,40-person group,punishment,contribute 20,30,39,0.7692307692307693,6,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,5,5,0,0,5,5,0,0,10,0,0,0,10,0,0,0,45,Female
19,108.211.153.109,25,40-person group,punishment,contribute 20,30,39,0.7692307692307693,7,"neutral
3
","completely agree
5
",1,"neutral
3
","completely agree
5
",1,"neutral
3
","neutral
3
",3,2.3333333333333335,,,,,,,,,3,3,4,,0,0,10,0,0,5,5,0,3,4,3,0,22,Male
20,162.193.146.163,24.266666666666666,40-person group,punishment,contribute 20,15,39,0.38461538461538464,4,"slightly agree
4
","completely agree
5
",1,"slightly agree
4
","completely agree
5
",1,"completely agree
5
","slightly disagree
2
",4,3.1666666666666665,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,25,Male
21,76.112.166.63,24.016666666666666,20-person group,punishment,contribute 20,16,19,0.8421052631578947,6,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,1.3333333333333333,,,,,,,,,0,0,0,10,0,0,0,10,0,1,1,8,1,1,1,7,24,Male
22,138.75.174.102,23.916666666666668,40-person group,punishment,contribute 0,16,39,0.41025641025641024,4,"slightly agree
4
","slightly disagree
2
",4,"completely disagree
1
","neutral
3
",3,"slightly disagree
2
","neutral
3
",3,2.8333333333333335,,,,,,,,,0,0,0,10,0,,0,10,0,0,0,10,0,0,0,10,33,Male
23,184.63.182.58,23.883333333333333,40-person group,punishment,contribute 20,19,39,0.48717948717948717,4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,,,,,,,,,0,0,0,10,0,0,10,0,0,5,5,0,3,3,3,1,60,Female
24,192.3.213.241,23.866666666666667,4-person group,punishment,contribute 20,2,3,0.6666666666666666,4,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","slightly agree
4
",2,3.3333333333333335,,,,,,,,,2,3,5,0,3,3,3,1,8,1,1,0,3,3,3,1,33,Male
25,68.13.6.36,23.4,20-person group,punishment,contribute 20,10,19,0.5263157894736842,5,"completely agree
5
","neutral
3
",3,"completely agree
5
","slightly disagree
2
",4,"completely agree
5
","completely disagree
1
",5,4.5,,,,,,,,,2,2,2,4,0,0,6,4,0,4,4,2,3,3,3,1,35,Male
26,108.11.158.246,23.35,20-person group,punishment,contribute 20,19,19,1,6,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,45,Male
27,73.158.204.246,23.2,4-person group,reputation,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,27,Female
28,71.38.199.251,22.75,20-person group,reputation,contribute 20,14,19,0.7368421052631579,6,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,50,Female
29,70.40.249.31,22.433333333333334,20-person group,control,contribute 20,13,19,0.6842105263157895,5,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,4,,,,,,,,,,,,,,,,,,,,,,,,,59,Male
30,223.182.207.27,22.333333333333332,40-person group,reputation,contribute 20,39,39,1,7,"completely agree
5
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.6666666666666667,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,32,Male
31,174.59.192.129,21.9,20-person group,reputation,contribute 0,11,19,0.5789473684210527,3,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.3333333333333335,Member 3 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,41,Female
32,69.244.222.159,21.25,20-person group,punishment,contribute 20,15,19,0.7894736842105263,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,,,,,,,,,0,0,0,10,0,0,10,0,0,1,1,8,1,1,1,7,65,Female
33,73.136.56.120,20.95,20-person group,punishment,contribute 0,3,19,0.15789473684210525,5,"slightly agree
4
","neutral
3
",3,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","completely disagree
1
",5,3.1666666666666665,,,,,,,,,2,3,2,3,2,3,4,1,3,2,5,0,1,4,5,0,21,Female
34,199.115.115.209,20.85,40-person group,punishment,contribute 20,10,39,0.2564102564102564,5,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.6666666666666665,,,,,,,,,3,4,3,0,4,4,2,0,6,2,2,0,3,3,4,0,30,Female
