CaseNumber,IPAddress,DurationInMins,GroupSize,check1,check2,check3,check4,check5,Cooperation,FreeRide,ExpCooperation,PerceiveEfficiency,SIS1,SIS1_R,SIS2,SIS2_R,SIS3,SIS4,SIS4_R,SIS5,SIS6,SIS7,SIS7_R,SIS8,SIS9,SIS9_R,SIS10,SIS10_R,SIS11,SIS12,SIS12_R,SIS13,SIS14,SIS15,SIS15_R,SIS16,SIS17,SIS17_R,SIS18,SIS18_R,SIS19,SIS20,SIS20_R,SIS21,SIS22,SIS23,SIS23_R,SIS24,SIS25,SIS26,SIS26_R,SIS27,SIS28,SIS28_R,SIS29,SIS30,SIS30_R,MuDepend,Power,Conflict,FuDepend,InfoCert,Age,Gender
1,99.58.42.214,2.65,20-person group (same MPCR),3,2,3,1,3,7,contribute at least 1 token,7,4,"slightly agree

4
",2,"neutral

3
",3,"slightly agree

4
","slightly agree

4
",2,"neutral

3
","slightly agree

4
","slightly agree

4
",2,"neutral

3
","completely agree

5
",1,"slightly agree

4
",2,"neutral

3
","slightly agree

4
",2,"completely agree

5
","neutral

3
","slightly agree

4
",2,"slightly disagree

2
","neutral

3
",3,"slightly agree

4
",2,"completely agree

5
","neutral

3
",3,"slightly agree

4
","neutral

3
","slightly agree

4
",2,"neutral

3
","maybe myself

4
","neutral

3
",3,"maybe myself

4
","maybe myself

4
",2,"neutral

3
","definitely myself

5
",1,2.8333333333333335,2.8333333333333335,3,3,2.5,28,Female
2,99.108.152.126,3.3,20-person group (same MPCR),3,2,3,1,3,5,contribute at least 1 token,9,5,"slightly disagree

2
",4,"slightly agree

4
",2,"completely disagree

1
","completely disagree

1
",5,"neutral

3
","slightly agree

4
","slightly agree

4
",2,"completely agree

5
","slightly agree

4
",2,"slightly disagree

2
",4,"neutral

3
","slightly disagree

2
",4,"completely disagree

1
","neutral

3
","slightly disagree

2
",4,"neutral

3
","neutral

3
",3,"neutral

3
",3,"slightly disagree

2
","completely disagree

1
",5,"neutral

3
","slightly agree

4
","neutral

3
",3,"neutral

3
","neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,3.3333333333333335,3,2.5,2.6666666666666665,4.166666666666667,23,Male
3,24.56.234.118,4.716666666666667,20-person group (same MGR),3,2,1,2,2,9,contribute at least 1 token,9,4,"slightly disagree

2
",4,"neutral

3
",3,"slightly disagree

2
","slightly disagree

2
",4,"neutral

3
","neutral

3
","slightly disagree

2
",4,"neutral

3
","slightly agree

4
",2,"slightly agree

4
",2,"slightly agree

4
","neutral

3
",3,"slightly disagree

2
","neutral

3
","slightly agree

4
",2,"slightly disagree

2
","slightly agree

4
",2,"neutral

3
",3,"slightly disagree

2
","slightly disagree

2
",4,"slightly disagree

2
","slightly agree

4
","neutral

3
",3,"slightly disagree

2
","maybe the other

2
","maybe the other

2
",4,"maybe myself

4
","maybe myself

4
",2,"maybe the other

2
","neutral

3
",3,3,2.8333333333333335,2.8333333333333335,2.5,3,30,Female
4,99.111.118.15,4.933333333333334,20-person group (same MGR),3,2,1,2,2,1,contribute at least 1 token,2,2,"neutral

3
",3,"slightly disagree

2
",4,"slightly agree

4
","neutral

3
",3,"slightly agree

4
","slightly agree

4
","neutral

3
",3,"slightly agree

4
","slightly disagree

2
",4,"slightly disagree

2
",4,"slightly agree

4
","slightly disagree

2
",4,"slightly disagree

2
","slightly agree

4
","slightly agree

4
",2,"slightly agree

4
","slightly disagree

2
",4,"slightly disagree

2
",4,"slightly agree

4
","slightly agree

4
",2,"slightly agree

4
","completely agree

5
","slightly agree

4
",2,"slightly agree

4
","neutral

3
","maybe myself

4
",2,"maybe the other

2
","neutral

3
",3,"neutral

3
","neutral

3
",3,4.166666666666667,2.6666666666666665,3.1666666666666665,3.5,3.5,36,Male
5,71.11.142.101,4.333333333333333,40-person group (same MPCR),4,2,4,1,5,10,contribute at least 1 token,10,5,"neutral

3
",3,"neutral

3
",3,"slightly agree

4
","neutral

3
",3,"neutral

3
","slightly agree

4
","neutral

3
",3,"slightly agree

4
","slightly agree

4
",2,"slightly agree

4
",2,"slightly agree

4
","completely agree

5
",1,"slightly agree

4
","slightly agree

4
","slightly agree

4
",2,"neutral

3
","neutral

3
",3,"neutral

3
",3,"neutral

3
","neutral

3
",3,"slightly disagree

2
","slightly agree

4
","slightly agree

4
",2,"slightly agree

4
","neutral

3
","maybe myself

4
",2,"definitely myself

5
","maybe myself

4
",2,"maybe myself

4
","maybe myself

4
",2,3.3333333333333335,3,3,2.8333333333333335,3,33,Female
6,107.173.11.151,3.65,20-person group (same MGR),3,2,1,2,2,18,contribute at least 1 token,14,5,"neutral

3
",3,"slightly agree

4
",2,"completely agree

5
","slightly agree

4
",2,"neutral

3
","slightly disagree

2
","neutral

3
",3,"slightly agree

4
","completely agree

5
",1,"slightly agree

4
",2,"neutral

3
","slightly agree

4
",2,"neutral

3
","slightly agree

4
","completely agree

5
",1,"slightly agree

4
","neutral

3
",3,"neutral

3
",3,"neutral

3
","slightly agree

4
",2,"completely agree

5
","slightly agree

4
","neutral

3
",3,"neutral

3
","maybe myself

4
","definitely myself

5
",1,"maybe myself

4
","neutral

3
",3,"maybe myself

4
","definitely myself

5
",1,2.8333333333333335,2.8333333333333335,3,3,2.8333333333333335,30,Male
7,71.90.191.193,3.966666666666667,4-person group,1,2,1,1,1,0,contribute nothing (free ride),8,5,"slightly disagree

2
",4,"slightly disagree

2
",4,"slightly disagree

2
","slightly disagree

2
",4,"slightly agree

4
","slightly agree

4
","slightly agree

4
",2,"slightly agree

4
","slightly disagree

2
",4,"slightly disagree

2
",4,"slightly disagree

2
","slightly disagree

2
",4,"slightly agree

4
","slightly disagree

2
","slightly agree

4
",2,"slightly agree

4
","slightly disagree

2
",4,"slightly disagree

2
",4,"slightly disagree

2
","neutral

3
",3,"slightly disagree

2
","slightly disagree

2
","slightly agree

4
",2,"slightly agree

4
","neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,3.3333333333333335,3,2,3.6666666666666665,3.8333333333333335,21,Male
8,76.112.241.147,4.85,20-person group (same MGR),3,2,1,2,2,20,contribute at least 1 token,10,4,"slightly disagree

2
",4,"completely disagree

1
",5,"slightly disagree

2
","neutral

3
",3,"slightly agree

4
","completely agree

5
","completely agree

5
",1,"completely agree

5
","slightly disagree

2
",4,"completely disagree

1
",5,"slightly disagree

2
","completely disagree

1
",5,"slightly agree

4
","completely agree

5
","completely agree

5
",1,"completely agree

5
","slightly disagree

2
",4,"completely disagree

1
",5,"slightly disagree

2
","slightly disagree

2
",4,"slightly agree

4
","completely agree

5
","slightly agree

4
",2,"slightly agree

4
","neutral

3
","maybe the other

2
",4,"neutral

3
","maybe myself

4
",2,"maybe the other

2
","maybe myself

4
",2,5,2.6666666666666665,1.6666666666666667,4,4.333333333333333,38,Male
9,71.126.246.100,5.483333333333333,40-person group (same MPCR),4,2,4,1,5,10,contribute at least 1 token,8,7,"completely agree

5
",1,"slightly disagree

2
",4,"slightly agree

4
","slightly disagree

2
",4,"slightly agree

4
","slightly agree

4
","completely agree

5
",1,"slightly agree

4
","slightly agree

4
",2,"slightly disagree

2
",4,"slightly disagree

2
","slightly disagree

2
",4,"slightly disagree

2
","completely agree

5
","slightly agree

4
",2,"slightly agree

4
","neutral

3
",3,"neutral

3
",3,"slightly disagree

2
","slightly disagree

2
",4,"slightly disagree

2
","slightly agree

4
","slightly agree

4
",2,"slightly agree

4
","neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,4,3,2.1666666666666665,2.3333333333333335,4,32,Female
10,50.4.220.146,3.1,4-person group,1,2,1,1,1,15,contribute at least 1 token,17,5,"slightly agree

4
",2,"completely agree

5
",1,"slightly agree

4
","completely disagree

1
",5,"completely agree

5
","slightly agree

4
","slightly agree

4
",2,"completely agree

5
","neutral

3
",3,"slightly agree

4
",2,"completely disagree

1
","completely agree

5
",1,"slightly agree

4
","completely agree

5
","neutral

3
",3,"slightly agree

4
","completely agree

5
",1,"slightly agree

4
",2,"completely agree

5
","completely disagree

1
",5,"slightly agree

4
","completely agree

5
","slightly agree

4
",2,"completely agree

5
","definitely myself

5
","definitely the other

1
",5,"definitely myself

5
","neutral

3
",3,"maybe myself

4
","maybe myself

4
",2,3.1666666666666665,4,2.8333333333333335,3.1666666666666665,4.166666666666667,40,Female
11,47.37.150.223,5.533333333333333,40-person group (same MPCR),4,2,4,1,5,14,contribute at least 1 token,10,7,"neutral

3
",3,"completely disagree

1
",5,"slightly disagree

2
","slightly agree

4
",2,"slightly agree

4
","completely agree

5
","neutral

3
",3,"slightly agree

4
","completely agree

5
",1,"slightly disagree

2
",4,"neutral

3
","completely disagree

1
",5,"slightly disagree

2
","completely agree

5
","completely agree

5
",1,"completely agree

5
","slightly agree

4
",2,"slightly disagree

2
",4,"completely disagree

1
","completely disagree

1
",5,"neutral

3
","slightly agree

4
","slightly agree

4
",2,"completely agree

5
","maybe myself

4
","maybe the other

2
",4,"definitely myself

5
","neutral

3
",3,"maybe myself

4
","maybe the other

2
",4,4.5,4,2,2.5,4.333333333333333,30,Female
12,98.214.56.251,1.6666666666666667,4-person group,1,2,1,1,1,10,contribute at least 1 token,10,4,"slightly agree

4
",2,"slightly agree

4
",2,"slightly agree

4
","neutral

3
",3,"neutral

3
","slightly agree

4
","slightly agree

4
",2,"completely disagree

1
","slightly disagree

2
",4,"neutral

3
",3,"neutral

3
","slightly disagree

2
",4,"neutral

3
","slightly disagree

2
","slightly disagree

2
",4,"neutral

3
","slightly disagree

2
",4,"slightly disagree

2
",4,"slightly disagree

2
","slightly disagree

2
",4,"slightly disagree

2
","neutral

3
","slightly disagree

2
",4,"slightly disagree

2
","maybe myself

4
","maybe the other

2
",4,"maybe the other

2
","maybe the other

2
",4,"maybe the other

2
","neutral

3
",3,3,3.1666666666666665,3.1666666666666665,3,2.8333333333333335,35,Male
13,162.232.177.134,6.3,4-person group,1,2,1,1,1,0,contribute nothing (free ride),2,4,"completely agree

5
",1,"completely disagree

1
",5,"neutral

3
","neutral

3
",3,"completely disagree

1
","completely agree

5
","slightly disagree

2
",4,"completely agree

5
","completely agree

5
",1,"completely disagree

1
",5,"slightly agree

4
","slightly disagree

2
",4,"completely disagree

1
","slightly agree

4
","slightly disagree

2
",4,"slightly agree

4
","completely agree

5
",1,"completely disagree

1
",5,"slightly agree

4
","completely disagree

1
",5,"completely disagree

1
","completely agree

5
","slightly disagree

2
",4,"slightly agree

4
","neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,"neutral

3
","neutral

3
",3,4.833333333333333,3,3.8333333333333335,1,4.166666666666667,29,Male
