period,subject,triangle,chooseup,numchooseupcircle,numchooseuptri,profit,partnerout,partnerin,allocateincoin0,allocateincoin1,allocateincoin2,sumcoinsallocatedin,totalprofit,normtriup,normadults,gameunequal,n_period,n_subjects,kindergarten,female,S_ID,I_ID
11,3,0,1,41,33,0,7,,,,,,14,0,0,1,13,10,0,1,90,1.00e+09
12,4,0,1,58,13,2,6,,,,,,16,0,0,1,13,10,0,1,39,3904
2,2,0,0,5,6,1,7,,,,,,2,0,1,0,13,10,1,1,10,1002
1,0,0,1,5,4,2,9,,,,,,2,1,0,1,13,10,0,1,36,3600
5,4,0,1,14,12,0,8,,,,,,3,1,0,1,13,10,1,0,92,8.04e+08
11,2,0,1,29,28,0,5,,,,,,7,0,1,0,13,10,1,1,10,1002
6,2,0,0,22,20,1,6,,,,,,7,0,0,1,13,10,1,1,40,4002
1,0,0,1,4,0,1,7,,,,,,1,0,1,0,13,10,1,1,24,2400
7,1,0,1,21,16,0,7,,,,,,4,1,1,1,13,10,1,1,26,2601
9,1,0,1,41,2,1,9,,,,,,9,0,1,0,13,10,0,1,42,4201
3,4,0,0,13,6,0,7,,,,,,0,0,0,1,13,10,0,1,39,3904
8,2,0,0,24,18,0,6,,,,,,7,1,1,1,13,10,1,1,26,2602
1,0,0,1,3,5,0,7,,,,,,0,1,1,1,13,10,1,1,26,2600
1,0,0,0,2,3,1,6,,,,,,1,1,0,1,13,10,0,1,94,6.00e+08
6,3,0,0,8,18,0,5,,,,,,5,1,0,0,13,10,1,1,33,3303
1,0,0,0,2,2,0,4,,,,,,0,0,0,0,13,8,1,1,21,2100
3,4,0,0,2,13,1,6,,,,,,3,1,0,0,13,10,0,1,86,1.40e+09
3,2,0,1,7,8,0,8,,,,,,1,1,1,0,13,10,1,0,19,1902
4,2,0,1,18,7,1,5,,,,,,2,0,0,0,13,10,0,0,89,1.10e+09
13,0,0,,41,31,3,9,1,1,0,1,2,11,1,1,1,13,10,1,1,48,4800
13,3,0,,56,2,4,6,4,1,0,1,2,16,0,1,0,13,10,0,1,42,4203
3,4,0,1,13,3,1,6,,,,,,2,0,0,0,13,10,0,1,49,4904
1,3,0,0,0,3,1,9,,,,,,1,1,1,0,13,10,0,0,32,3203
11,4,0,1,28,34,0,8,,,,,,6,1,0,1,13,10,1,1,46,4604
6,3,0,0,12,20,1,7,,,,,,4,1,0,0,13,10,0,0,47,4703
3,1,0,1,9,8,0,6,,,,,,3,1,0,1,13,10,0,1,94,6.01e+08
1,0,0,0,0,2,1,5,,,,,,1,1,0,0,13,8,1,1,85,1.50e+09
1,0,0,0,1,3,0,5,,,,,,0,1,0,0,13,10,0,0,47,4700
3,2,0,1,2,6,0,6,,,,,,1,1,0,0,13,8,1,1,85,1.50e+09
9,4,0,1,39,11,1,6,,,,,,6,0,0,0,13,10,0,1,49,4904
9,1,0,0,13,30,0,6,,,,,,1,1,0,0,13,10,1,0,33,3301
3,4,0,1,11,2,1,5,,,,,,2,0,1,0,13,10,0,0,15,1504
3,2,0,0,8,7,1,9,,,,,,3,0,1,1,13,10,0,0,9,902
1,4,0,1,4,0,1,8,,,,,,1,0,1,0,13,10,1,0,24,2404
12,1,0,1,31,42,0,9,,,,,,12,1,0,1,13,10,0,1,36,3601
7,1,0,1,19,22,2,6,,,,,,5,0,1,1,13,10,0,1,9,901
5,4,0,0,14,14,1,8,,,,,,4,0,1,1,13,10,0,1,9,904
9,2,0,1,28,24,0,8,,,,,,7,1,0,1,13,10,0,1,94,6.02e+08
11,4,0,0,24,32,0,6,,,,,,5,1,1,0,13,10,0,0,32,3204
2,2,0,1,8,6,0,9,,,,,,0,1,1,1,13,10,1,0,48,4802
7,4,0,1,27,22,0,7,,,,,,3,0,0,1,13,10,0,1,90,1.00e+09
7,2,0,1,20,13,2,8,,,,,,10,0,0,1,13,10,1,1,25,2502
2,4,0,1,3,6,0,9,,,,,,0,1,1,0,13,10,0,0,32,3204
13,2,0,,52,14,3,7,0,1,0,1,2,13,0,0,0,13,10,0,1,49,4902
1,0,0,0,4,2,1,5,,,,,,1,0,0,0,13,10,1,1,41,4100
7,3,0,0,21,18,1,7,,,,,,7,0,1,1,13,10,0,0,22,2203
2,3,0,1,8,5,0,5,,,,,,1,0,0,0,13,10,1,1,41,4103
1,0,0,0,4,4,1,5,,,,,,1,0,1,1,13,10,1,0,20,2000
9,1,0,0,27,26,0,7,,,,,,8,0,0,1,13,10,1,1,44,4401
3,3,0,1,14,5,1,7,,,,,,3,0,0,0,13,10,0,0,89,1.10e+09
9,3,0,0,3,42,1,7,,,,,,9,1,1,0,13,10,0,0,30,3003
12,3,0,1,58,13,2,5,,,,,,20,0,0,1,13,10,0,0,39,3903
5,2,0,1,14,12,0,9,,,,,,5,1,1,1,13,10,1,1,26,2602
