session,Period,Subject,Num_subject,Num_others,choice_task1,choice_task2,choice_task3,choice_task4,choice_same_gender,choice_diff_gender,choice_same_neutral,choice_diff_neutral,random_play_order,play_order,game1,game2,game3,game4,year,campus,roomate,gender,visitation,visitation_first,visitation_second,visitation_third,nonvisitation_first,nonvisitation_second,nonvisitation_third,num_male_total,num_male_others,num_female_total,num_female_others,even_num_male,even_num_female,temp_rand_matching1,temp_rand_matching2,temp_rand_matching3,temp_rand_matching4,temp_matching_rank1,temp_matching_id_sg,temp_matching_rank2,temp_matching_id_dg,temp_matching_rank3,temp_matching_id_sn,temp_matching_rank4,temp_matching_id_dn,quiz_phase,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,answer_stage,choice_game1,stage_control,choice_game2,choice_game3,choice_game4,guess_number,confidence_num_other_choice1,identity,whichpart_identity,part2_choice1,part2_choice2,part2_choice3,part2_choice4,part2_choice5,part2_choice6,part2_choice7,part2_choice8,part2_choice9,part2_choice10,part2_choice11,age,major,nationality,religion,religion_other,opinion_experiment,friend,trust,pass,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,generous,lazy,frugal,impatient,studious,cautious,artistic,patient,reckless,rand_check,check_order,check1,check2,check3,check4,female_avatar,male_avatar,neutral_female_avatar,neutral_male_avatar,payment_task_part1,partner_choice,payment_choice_part1,earning,total_num_choice1_task1,total_num_choice1_task2,total_num_choice1_task3,total_num_choice1_task4,other_num_choice1_task1,other_num_choice1_task2,other_num_choice1_task3,other_num_choice1_task4,num_other_choice1,deviation,extra_point,rand_lottery,selected_row,part2_payment_choice,rand_optionb,threshold_optionb,part2_payment,rand_final,payment_part,final_earning,final_cash,selected_order_task,exp_effect
1,1,1,16,15,2,2,2,1,2,2,2,1,0.891,6,4,2,1,3,2,1,1,1,1,"Have friends over at any time, regardless of their sex",Room becomes a much more social place,,Privacy,Helps maintain religious belief (because some religion's prohibit interactions with the opposite sex in some conditions).,,8,7,8,8,1,1,0.694794134,0.700297177,0.169739408,0.335644061,5,3,5,5,7,4,7,7,9,4,1,4,2,1,2,1,1,0,1,1,2,2,2,8,75,0,,1,1,1,1,1,1,1,1,2,2,2,19,Computer Science and Mathematics,Sri Lankan,5,,"Risk Aversenss, Decision making when paired with unknown factors",0,0,2,2,4,3,2,1,4,3,4,3,2,2,4,4,2,2,3,3,1,2,3,2,3,4,3,2,2,2,5,17.016,18,3,4,2,1,2,1,1,2,1,1,2,40,6,6,9,10,6,6,9,9,9,1,2,0.692268106,8,1,0.937827683,0.7,40,0.104466531,2,40,86,3,0
2,1,1,14,13,1,1,1,1,1,1,1,1,0.296,2,1,2,4,3,1,1,1,1,1,You can hang out with anyone you wan,Easier to group study in a friend group of both males and females,,nil,,,7,6,7,7,0,0,0.682079451,0.418269939,0.467812449,0.558390735,2,1,4,4,4,2,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,6,90,0,,1,1,1,1,1,1,1,1,1,2,2,19,Computer Science,Indian,7,,no idea,2,1,2,1,3,4,4,4,5,3,4,3,1,5,4,4,2,5,4,2,1,1,3,5,3,5,4,4,2,3,5,14.256,15,3,2,1,4,2,1,2,1,4,2,1,0,7,6,12,13,6,6,11,12,6,0,3,0.414406528,5,1,0.337028564,0.4,40,0.825503726,1,3,34.2,3,0
3,1,1,14,13,2,1,2,2,2,1,2,2,0.19,2,1,2,4,3,1,1,1,2,0,Male friends and family can visit at any time,,,A higher chance of getting a single room.,"Relatively quieter, thus, more comfortable to study.",,7,7,7,6,0,0,0.294860813,0.713881016,0.936763877,0.398748018,6,3,3,3,1,1,3,3,9,4,1,4,1,1,2,1,1,0,2,1,1,2,2,6,90,0,,1,1,1,1,1,1,1,1,1,2,2,19,Biology,Ethiopian,5,,I believe it was about how decision making is dependent on the amount of benefit that can be gained as a result of the decisions we make,0,1,2,4,3,5,5,2,5,5,5,1,1,4,4,3,5,5,1,1,1,2,5,3,3,5,5,5,1,3,1,19.296,20,4,1,3,2,2,1,1,1,1,1,2,40,3,4,6,7,3,4,6,7,3,3,0,0.12625541,2,1,0.871176465,0.1,40,0.220438313,2,40,86,1,0
4,1,1,16,15,1,1,2,2,1,1,2,2,0.015,1,1,2,3,4,1,1,0,2,1,"all of my friends can visit, not just the female ones",,,it is more quiet,,,8,8,8,7,1,1,0.212393888,0.992265196,0.67495201,0.35610087,7,4,1,1,3,2,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,2,2,6,70,1,misread the firts question,1,1,1,1,1,1,1,1,1,1,1,19,political science,latvian,2,,making decisions based on perceptions of the other person's identity,4,0,2,5,3,2,4,4,4,1,1,3,2,4,1,1,5,5,3,1,1,1,3,3,3,4,3,4,5,3,2,20.208,21,4,2,1,3,2,1,3,3,2,1,1,60,3,4,8,7,2,4,8,7,2,4,0,0.982109038,11,1,0.919162631,1,40,0.390883771,2,40,86,2,1
5,1,1,16,15,1,2,2,2,1,2,2,2,0.257,2,1,2,4,3,1,1,1,2,1,Friends of the opposite gender may visit,,,Privacy to those in need of it (possibly due to religious reasons) is guaranteed,,,8,8,8,7,1,1,0.513701358,0.945727957,0.986860019,0.202525631,4,2,1,1,1,1,6,6,9,4,1,4,2,1,2,1,1,0,1,1,2,2,2,3,85,0,,1,1,1,1,1,1,1,1,2,2,2,20,Biology,Sri Lankan,5,,Personal choice and predicting the other participants choice,4,0,2,4,5,3,3,4,4,3,4,5,2,4,3,3,4,2,1,1,1,1,5,3,3,4,5,3,5,5,2,2.52,3,1,3,2,4,3,3,3,3,2,1,2,40,5,3,7,8,4,3,7,8,4,1,2,0.586244473,7,1,0.477897591,0.6,40,0.98401296,1,42,88.8,2,0
6,1,1,18,17,1,2,2,1,1,2,2,1,0.629,4,2,1,4,3,1,1,0,2,1,Get to see friends of both genders,Can have get-togethers with no concerns ,"Anyone can come to your floor and to your room, facilitates things like picking up and dropping off stuff",Generally more calm ,Generally cleaner ,Can walk around more comfortably in pajamas and clothes like those around your same gender,9,9,9,8,0,0,0.154209743,0.262280217,0.143599769,0.250378956,6,3,7,7,9,5,4,4,9,4,2,4,2,1,2,1,1,0,2,1,1,1,2,4,60,0,,1,1,1,1,1,1,1,2,2,2,2,18,Mechanical Engineering,Bolivian,2,,How people respond to securing monetary benefits for themselves and/or others with different assesments of risk and probability,3,0,2,5,5,3,3,3,5,4,5,2,1,5,5,4,3,2,1,1,1,1,4,2,2,4,3,4,5,3,3,14.112,15,3,2,1,4,2,1,3,3,2,2,2,40,4,3,5,8,3,3,5,7,3,1,2,0.416250164,5,1,0.836048651,0.4,40,0.242457667,2,40,86,1,0
7,1,1,16,15,2,2,2,2,2,2,2,2,0.424,3,2,1,3,4,4,1,1,1,1,Girls get to visit,Romantic relationship is more feasible seeing i am straight,i hate restrictions,"depending on cultural, religious or personal beliefs it may be more appropriate",gives one the choice to live solely with preferred sex,,8,7,8,8,1,1,0.45880623,0.841912114,0.435896285,0.156314914,4,2,2,2,7,4,8,8,9,4,2,4,1,1,2,1,1,0,2,1,2,2,2,2,60,0,,1,1,1,1,1,1,1,1,2,2,2,24,Civil Engineering,Rwandan,2,,risk taking and incentives,2,0,2,3,2,4,4,4,4,3,3,4,2,3,4,4,2,2,3,3,1,5,2,4,3,4,3,2,3,3,4,17.232,18,3,4,2,1,2,1,1,2,4,1,2,40,6,6,13,13,6,6,13,13,6,4,0,0.005061067,1,1,0.938702525,0,40,0.569056719,1,40,86,4,0
8,1,1,16,15,2,1,2,2,2,1,2,2,0.874,6,4,2,1,3,4,1,1,2,1,Getting to meet up with and host friends of the opposite gender.,,,Students that follow religious/ confessional rules may feel more comfortable in this setting.,,,8,8,8,7,1,1,0.787256577,0.057014313,0.852497109,0.580757888,3,2,7,7,2,1,1,1,9,4,1,4,2,1,2,1,1,0,2,1,1,2,2,6,75,0,,1,1,1,1,1,1,1,1,2,2,2,21,Biology,Germany,2,,Risk aversion/ risk taking in decision-making,3,1,2,2,4,4,5,5,3,4,3,3,1,2,3,3,2,2,2,1,1,1,4,2,3,4,3,4,4,4,2,12.888,13,3,1,2,4,2,1,3,3,3,2,2,40,5,6,6,8,5,6,6,8,8,2,1,0.340684942,4,1,0.455194989,0.3,40,0.587912713,1,41,87.4,4,0
9,1,1,18,17,1,1,1,1,1,1,1,1,0.429,3,2,1,3,4,1,1,1,1,1,Can have my girlfriend over,Closer to friends,Can have parties,Peaceful,Dont have to worry if the roommate has got a girl over,,9,8,9,9,0,0,0.775660133,0.104261017,0.832365407,0.179981808,5,3,8,8,3,2,8,8,9,4,4,4,2,1,2,1,1,0,1,1,1,1,1,9,100,0,,1,1,1,1,1,1,2,2,2,2,2,18,Economics,Indian,5,,Decision making ,3,1,2,5,5,3,4,4,3,3,3,2,3,4,4,4,2,2,4,4,3,3,3,5,5,5,2,2,2,2,5,22.416,23,4,3,1,2,2,1,1,1,1,1,1,60,8,7,13,14,7,7,12,13,7,2,1,0.139297859,2,1,0.545899323,0.1,40,0.765384761,1,61,115.4,2,0
10,1,1,14,13,1,2,2,2,1,2,2,2,0.067,1,1,2,3,4,1,1,0,2,1,You can invite your friends over.,,,"It is a quiet space, no interruptions occur.",,,7,7,7,6,0,0,0.875750605,0.454583091,0.912582586,0.707529873,1,1,5,5,2,1,3,3,9,2,1,4,1,1,2,1,1,0,1,1,2,2,2,5,80,1,Gender ,1,1,1,1,1,1,1,1,2,2,2,20,SRPP,Bulgarian,9,,Decision making based on the level of risk of failure one has,0,0,2,2,4,3,5,4,5,2,2,3,1,3,4,4,1,2,4,1,1,4,3,3,2,4,3,3,4,2,3,0.24,1,1,2,3,4,2,1,3,3,1,2,1,0,5,4,6,6,4,4,6,6,4,1,2,0.422117071,5,1,0.933218326,0.4,40,0.86767176,1,2,32.8,1,0
