;"Player";"Investment";"Pot";"Return";"Endowment_Inferred";"Subject";"Delta",
41;116;5;20;12;5;"RAS_001";0,63
42;120;2;8;4;5;"RAS_001";0,63
43;60;10;40;21;20;"RAS_001";0,63
44;75;8;32;13;50;"RAS_001";0,63
45;114;10;40;18;50;"RAS_001";0,63
46;105;10;40;21;20;"RAS_001";0,63
47;46;10;40;19;50;"RAS_001";0,63
48;117;2;8;4;5;"RAS_001";0,63
49;72;10;40;22;20;"RAS_001";0,63
50;69;7;28;15;20;"RAS_001";0,63
51;55;8;32;17;20;"RAS_001";0,63
52;71;2;8;4;5;"RAS_001";0,63
53;70;7;28;14;20;"RAS_001";0,63
54;113;7;28;13;20;"RAS_001";0,63
55;111;9;36;15;50;"RAS_001";0,63
56;112;10;40;20;50;"RAS_001";0,63
57;67;4;16;9;10;"RAS_001";0,63
58;90;2;8;5;2;"RAS_001";0,63
59;115;8;32;15;50;"RAS_001";0,63
60;107;8;32;17;20;"RAS_001";0,63
61;65;2;8;4;5;"RAS_001";0,63
62;76;4;16;10;5;"RAS_001";0,63
63;41;4;16;9;10;"RAS_001";0,63
64;100;8;32;16;20;"RAS_001";0,63
65;99;5;20;10;20;"RAS_001";0,63
66;80;2;8;5;2;"RAS_001";0,63
67;110;7;28;13;20;"RAS_001";0,63
68;54;7;28;15;20;"RAS_001";0,63
69;66;2;8;4;5;"RAS_001";0,63
70;84;2;8;4;5;"RAS_001";0,63
71;82;9;36;20;20;"RAS_001";0,63
72;79;9;36;18;20;"RAS_001";0,63
73;42;2;8;7;10;"RAS_001";0,63
74;109;2;8;4;5;"RAS_001";0,63
75;64;5;20;12;5;"RAS_001";0,63
76;74;9;36;20;20;"RAS_001";0,63
77;103;8;32;17;20;"RAS_001";0,63
78;44;4;16;9;10;"RAS_001";0,63
79;43;8;32;26;50;"RAS_001";0,63
80;51;10;40;18;50;"RAS_001";0,63
81;63;2;8;5;2;"RAS_001";0,63
82;95;8;32;14;50;"RAS_001";0,63
83;52;5;20;12;5;"RAS_001";0,63
84;97;10;40;21;20;"RAS_001";0,63
85;56;9;36;19;20;"RAS_001";0,63
86;108;2;8;5;2;"RAS_001";0,63
87;96;5;20;10;20;"RAS_001";0,63
88;98;2;8;4;5;"RAS_001";0,63
89;59;9;36;21;20;"RAS_001";0,63
90;119;4;16;7;20;"RAS_001";0,63
91;94;4;16;9;10;"RAS_001";0,63
92;58;2;8;4;5;"RAS_001";0,63
93;53;5;20;12;5;"RAS_001";0,63
94;93;9;36;15;50;"RAS_001";0,63
95;102;2;8;5;2;"RAS_001";0,63
96;61;8;32;17;20;"RAS_001";0,63
97;62;8;32;16;20;"RAS_001";0,63
98;89;7;28;15;20;"RAS_001";0,63
99;77;10;40;14;50;"RAS_001";0,63
100;47;10;40;23;20;"RAS_001";0,63
101;118;2;8;5;2;"RAS_001";0,63
102;57;4;16;8;10;"RAS_001";0,63
103;78;7;28;15;20;"RAS_001";0,63
104;49;4;16;9;10;"RAS_001";0,63
105;92;2;8;5;2;"RAS_001";0,63
106;101;7;28;12;50;"RAS_001";0,63
107;106;2;8;4;5;"RAS_001";0,63
108;48;9;36;20;20;"RAS_001";0,63
109;45;5;20;10;20;"RAS_001";0,63
110;91;2;8;4;5;"RAS_001";0,63
111;87;9;36;18;20;"RAS_001";0,63
112;83;5;20;12;5;"RAS_001";0,63
113;73;7;28;14;20;"RAS_001";0,63
114;88;5;20;12;5;"RAS_001";0,63
115;104;7;28;5;50;"RAS_001";0,63
116;68;4;16;10;5;"RAS_001";0,63
117;85;9;36;19;20;"RAS_001";0,63
118;50;5;20;12;5;"RAS_001";0,63
119;81;4;16;9;10;"RAS_001";0,63
120;86;2;8;6;10;"RAS_001";0,63
411;72;10;40;10;20;"RAS_002";0,35
421;116;5;20;6;5;"RAS_002";0,35
431;58;2;8;2;5;"RAS_002";0,35
441;110;7;28;7;10;"RAS_002";0,35
451;100;8;32;11;10;"RAS_002";0,35
461;113;7;28;10;10;"RAS_002";0,35
471;64;5;20;5;10;"RAS_002";0,35
481;106;2;8;1;5;"RAS_002";0,35
491;68;4;16;6;5;"RAS_002";0,35
501;45;5;20;5;10;"RAS_002";0,35
511;111;9;36;9;20;"RAS_002";0,35
521;44;4;16;5;5;"RAS_002";0,35
531;105;10;40;12;10;"RAS_002";0,35
541;47;10;40;13;10;"RAS_002";0,35
551;62;8;32;8;10;"RAS_002";0,35
561;49;4;16;5;5;"RAS_002";0,35
571;65;2;8;3;2;"RAS_002";0,35
581;99;5;20;6;5;"RAS_002";0,35
591;97;10;40;15;10;"RAS_002";0,35
601;88;5;20;7;5;"RAS_002";0,35
611;79;9;36;9;20;"RAS_002";0,35
621;60;10;40;10;20;"RAS_002";0,35
631;101;7;28;9;10;"RAS_002";0,35
641;94;4;16;6;5;"RAS_002";0,35
651;48;9;36;10;10;"RAS_002";0,35
661;112;10;40;13;10;"RAS_002";0,35
671;42;2;8;2;5;"RAS_002";0,35
681;109;2;8;2;5;"RAS_002";0,35
691;59;9;36;10;10;"RAS_002";0,35
701;78;7;28;10;10;"RAS_002";0,35
711;52;5;20;10;5;"RAS_002";0,35
721;43;8;32;10;10;"RAS_002";0,35
731;91;2;8;2;5;"RAS_002";0,35
741;73;7;28;10;10;"RAS_002";0,35
751;66;2;8;1;5;"RAS_002";0,35
761;56;9;36;8;20;"RAS_002";0,35
771;103;8;32;10;10;"RAS_002";0,35
781;77;10;40;12;10;"RAS_002";0,35
791;63;2;8;1;5;"RAS_002";0,35
801;41;4;16;5;5;"RAS_002";0,35
811;114;10;40;12;10;"RAS_002";0,35
821;93;9;36;10;10;"RAS_002";0,35
831;69;7;28;8;10;"RAS_002";0,35
841;95;8;32;10;10;"RAS_002";0,35
851;96;5;20;6;5;"RAS_002";0,35
861;118;2;8;2;5;"RAS_002";0,35
871;70;7;28;9;10;"RAS_002";0,35
881;102;2;8;2;5;"RAS_002";0,35
891;104;7;28;8;10;"RAS_002";0,35
901;53;5;20;4;10;"RAS_002";0,35
911;80;2;8;2;5;"RAS_002";0,35
921;86;2;8;1;5;"RAS_002";0,35
931;92;2;8;2;5;"RAS_002";0,35
941;71;2;8;2;5;"RAS_002";0,35
951;98;2;8;1;5;"RAS_002";0,35
961;61;8;32;7;20;"RAS_002";0,35
971;87;9;36;10;10;"RAS_002";0,35
981;115;8;32;8;10;"RAS_002";0,35
991;120;2;8;3;2;"RAS_002";0,35
1001;76;4;16;6;5;"RAS_002";0,35
1011;46;10;40;8;20;"RAS_002";0,35
1021;55;8;32;10;10;"RAS_002";0,35
1031;54;7;28;9;10;"RAS_002";0,35
1041;117;2;8;2;5;"RAS_002";0,35
1051;75;8;32;7;20;"RAS_002";0,35
1061;51;10;40;16;10;"RAS_002";0,35
1071;107;8;32;8;10;"RAS_002";0,35
1081;83;5;20;5;10;"RAS_002";0,35
1091;119;4;16;4;5;"RAS_002";0,35
1101;57;4;16;5;5;"RAS_002";0,35
1111;67;4;16;5;5;"RAS_002";0,35
1121;85;9;36;12;10;"RAS_002";0,35
1131;74;9;36;9;20;"RAS_002";0,35
1141;90;2;8;2;5;"RAS_002";0,35
1151;50;5;20;7;5;"RAS_002";0,35
1161;89;7;28;9;10;"RAS_002";0,35
1171;81;4;16;5;5;"RAS_002";0,35
1181;82;9;36;6;20;"RAS_002";0,35
1191;84;2;8;2;5;"RAS_002";0,35
1201;108;2;8;2;5;"RAS_002";0,35
412;78;7;28;6;10;"RAS_003";0,
422;98;2;8;2;2;"RAS_003";0,
432;89;7;28;4;10;"RAS_003";0,
442;120;2;8;4;10;"RAS_003";0,
452;95;8;32;6;10;"RAS_003";0,
462;58;2;8;4;10;"RAS_003";0,
472;114;10;40;10;20;"RAS_003";0,
482;42;2;8;4;10;"RAS_003";0,
492;93;9;36;6;10;"RAS_003";0,
502;108;2;8;4;10;"RAS_003";0,
512;47;10;40;10;20;"RAS_003";0,
522;73;7;28;3;10;"RAS_003";0,
532;86;2;8;4;10;"RAS_003";0,
542;61;8;32;7;10;"RAS_003";0,
552;87;9;36;6;10;"RAS_003";0,
562;109;2;8;4;10;"RAS_003";0,
572;118;2;8;4;10;"RAS_003";0,
582;69;7;28;3;10;"RAS_003";0,
592;97;10;40;10;50;"RAS_003";0,
602;100;8;32;2;10;"RAS_003";0,
612;115;8;32;2;10;"RAS_003";0,
622;79;9;36;6;10;"RAS_003";0,
632;48;9;36;6;10;"RAS_003";0,
642;76;4;16;6;20;"RAS_003";0,
652;53;5;20;4;5;"RAS_003";0,
662;65;2;8;4;10;"RAS_003";0,
672;74;9;36;6;10;"RAS_003";0,
682;49;4;16;6;20;"RAS_003";0,
692;107;8;32;2;10;"RAS_003";0,
702;71;2;8;4;10;"RAS_003";0,
712;55;8;32;7;10;"RAS_003";0,
722;46;10;40;5;10;"RAS_003";0,
732;104;7;28;3;10;"RAS_003";0,
742;43;8;32;7;10;"RAS_003";0,
752;85;9;36;1;10;"RAS_003";0,
762;106;2;8;4;10;"RAS_003";0,
772;60;10;40;5;10;"RAS_003";0,
782;59;9;36;6;10;"RAS_003";0,
792;44;4;16;6;20;"RAS_003";0,
802;101;7;28;6;10;"RAS_003";0,
812;113;7;28;8;50;"RAS_003";0,
822;63;2;8;2;5;"RAS_003";0,
832;64;5;20;5;20;"RAS_003";0,
842;81;4;16;4;20;"RAS_003";0,
852;66;2;8;2;5;"RAS_003";0,
862;99;5;20;5;20;"RAS_003";0,
872;56;9;36;2;10;"RAS_003";0,
882;82;9;36;1;10;"RAS_003";0,
892;84;2;8;4;10;"RAS_003";0,
902;75;8;32;7;10;"RAS_003";0,
912;72;10;40;5;10;"RAS_003";0,
922;45;5;20;5;20;"RAS_003";0,
932;105;10;40;5;10;"RAS_003";0,
942;70;7;28;7;20;"RAS_003";0,
952;52;5;20;10;20;"RAS_003";0,
962;119;4;16;2;5;"RAS_003";0,
972;102;2;8;2;2;"RAS_003";0,
982;111;9;36;1;10;"RAS_003";0,
992;41;4;16;6;20;"RAS_003";0,
1002;88;5;20;4;5;"RAS_003";0,
1012;91;2;8;2;2;"RAS_003";0,
1022;54;7;28;3;10;"RAS_003";0,
1032;96;5;20;5;20;"RAS_003";0,
1042;110;7;28;3;10;"RAS_003";0,
1052;68;4;16;6;20;"RAS_003";0,
1062;57;4;16;6;20;"RAS_003";0,
1072;67;4;16;6;20;"RAS_003";0,
1082;77;10;40;10;10;"RAS_003";0,
