;"Player";"Endowment";"Investment";"Pot";"Return";"Subject";"Delta",
1;1;10;5;20;6;"RAS_001";0,63
2;26;10;1;4;2;"RAS_001";0,63
3;40;10;4;16;4;"RAS_001";0,63
4;5;20;4;16;4;"RAS_001";0,63
5;36;50;9;36;7;"RAS_001";0,63
6;37;10;5;20;10;"RAS_001";0,63
7;10;5;1;4;1;"RAS_001";0,63
8;14;10;4;16;5;"RAS_001";0,63
9;11;2;1;4;3;"RAS_001";0,63
10;33;10;7;28;13;"RAS_001";0,63
11;34;10;8;32;19;"RAS_001";0,63
12;38;20;7;28;13;"RAS_001";0,63
13;24;20;5;20;5;"RAS_001";0,63
14;16;10;9;36;28;"RAS_001";0,63
15;32;10;10;40;31;"RAS_001";0,63
16;30;2;1;4;3;"RAS_001";0,63
17;4;10;5;20;11;"RAS_001";0,63
18;13;50;8;32;8;"RAS_001";0,63
19;19;5;2;8;4;"RAS_001";0,63
20;15;20;7;28;12;"RAS_001";0,63
21;9;10;5;20;11;"RAS_001";0,63
22;8;2;2;8;7;"RAS_001";0,63
23;17;2;1;4;3;"RAS_001";0,63
24;21;20;10;40;22;"RAS_001";0,63
25;2;20;8;32;13;"RAS_001";0,63
26;35;50;10;40;10;"RAS_001";0,63
27;39;20;9;36;14;"RAS_001";0,63
28;3;10;5;20;11;"RAS_001";0,63
29;31;5;2;8;4;"RAS_001";0,63
30;27;2;1;4;3;"RAS_001";0,63
31;12;20;10;40;22;"RAS_001";0,63
32;23;20;9;36;20;"RAS_001";0,63
33;22;50;7;28;9;"RAS_001";0,63
34;7;5;4;16;13;"RAS_001";0,63
35;20;20;8;32;15;"RAS_001";0,63
36;28;10;2;8;5;"RAS_001";0,63
37;6;10;5;20;10;"RAS_001";0,63
38;25;10;5;20;12;"RAS_001";0,63
39;29;5;5;20;14;"RAS_001";0,63
40;18;10;5;20;11;"RAS_001";0,63
41;15;20;7;28;7;"RAS_002";0,35
42;30;2;1;4;1;"RAS_002";0,35
43;29;5;5;20;8;"RAS_002";0,35
44;9;10;5;20;8;"RAS_002";0,35
45;5;20;4;16;4;"RAS_002";0,35
46;40;10;4;16;6;"RAS_002";0,35
47;20;20;8;32;11;"RAS_002";0,35
48;34;10;8;32;12;"RAS_002";0,35
49;7;5;4;16;6;"RAS_002";0,35
50;14;10;4;16;3;"RAS_002";0,35
51;33;10;7;28;9;"RAS_002";0,35
52;18;10;5;20;8;"RAS_002";0,35
53;6;10;5;20;7;"RAS_002";0,35
54;23;20;9;36;12;"RAS_002";0,35
55;13;50;8;32;1;"RAS_002";0,35
56;39;20;9;36;9;"RAS_002";0,35
57;21;20;10;40;12;"RAS_002";0,35
58;24;20;5;20;8;"RAS_002";0,35
59;26;10;1;4;0;"RAS_002";0,35
60;1;10;5;20;6;"RAS_002";0,35
61;22;50;7;28;1;"RAS_002";0,35
62;17;2;1;4;2;"RAS_002";0,35
63;38;20;7;28;9;"RAS_002";0,35
64;12;20;10;40;12;"RAS_002";0,35
65;28;10;2;8;1;"RAS_002";0,35
66;19;5;2;8;1;"RAS_002";0,35
67;32;10;10;40;10;"RAS_002";0,35
68;37;10;5;20;4;"RAS_002";0,35
