,Subject,trust_group,RR,Investment
1,RAS_001,mid,0.3,5
2,RAS_001,low,0.5,1
3,RAS_001,mid,0.25,4
4,RAS_001,low,0.25,4
5,RAS_001,low,0.194444444444444,9
6,RAS_001,mid,0.5,5
7,RAS_001,low,0.25,1
8,RAS_001,mid,0.3125,4
9,RAS_001,mid,0.75,1
10,RAS_001,hi,0.464285714285714,7
11,RAS_001,hi,0.59375,8
12,RAS_001,mid,0.464285714285714,7
13,RAS_001,low,0.25,5
14,RAS_001,hi,0.777777777777778,9
15,RAS_001,hi,0.775,10
16,RAS_001,mid,0.75,1
17,RAS_001,mid,0.55,5
18,RAS_001,low,0.25,8
19,RAS_001,mid,0.5,2
20,RAS_001,mid,0.428571428571429,7
21,RAS_001,mid,0.55,5
22,RAS_001,hi,0.875,2
23,RAS_001,mid,0.75,1
24,RAS_001,mid,0.55,10
25,RAS_001,mid,0.40625,8
26,RAS_001,low,0.25,10
27,RAS_001,mid,0.388888888888889,9
28,RAS_001,mid,0.55,5
29,RAS_001,mid,0.5,2
30,RAS_001,mid,0.75,1
31,RAS_001,mid,0.55,10
32,RAS_001,mid,0.555555555555556,9
33,RAS_001,low,0.321428571428571,7
34,RAS_001,hi,0.8125,4
35,RAS_001,mid,0.46875,8
36,RAS_001,low,0.625,2
37,RAS_001,mid,0.5,5
38,RAS_001,mid,0.6,5
39,RAS_001,hi,0.7,5
40,RAS_001,mid,0.55,5
41,RAS_002,mid,0.25,7
42,RAS_002,mid,0.25,1
43,RAS_002,hi,0.4,5
44,RAS_002,mid,0.4,5
45,RAS_002,low,0.25,4
46,RAS_002,mid,0.375,4
47,RAS_002,mid,0.34375,8
48,RAS_002,hi,0.375,8
49,RAS_002,hi,0.375,4
50,RAS_002,mid,0.1875,4
51,RAS_002,hi,0.321428571428571,7
52,RAS_002,mid,0.4,5
53,RAS_002,mid,0.35,5
54,RAS_002,mid,0.333333333333333,9
55,RAS_002,low,0.03125,8
56,RAS_002,mid,0.25,9
57,RAS_002,mid,0.3,10
58,RAS_002,low,0.4,5
59,RAS_002,low,0,1
60,RAS_002,mid,0.3,5
61,RAS_002,low,0.0357142857142857,7
62,RAS_002,mid,0.5,1
63,RAS_002,mid,0.321428571428571,7
64,RAS_002,mid,0.3,10
65,RAS_002,low,0.125,2
66,RAS_002,mid,0.125,2
67,RAS_002,hi,0.25,10
68,RAS_002,mid,0.2,5
69,RAS_002,mid,0.25,2
70,RAS_002,mid,0.5,5
71,RAS_002,low,0.0833333333333333,9
72,RAS_002,mid,0.25,5
