Sex,Subject#,Group#,Condition,Rank,Role,Round,Round_centred,Proposer_Keep,Proposer_Send,Responder_decision,Responder_attempted_reject,Rejected_offer,Reject_occur,Reject_alt,Rminus1_Reject,Earnings,filter_$,GreedyOffer,EqualOffer,Grip_strength
male,1,1,Control,3,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,67.5
male,1,1,Control,3,Responder,2,-1,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,45.8
male,1,1,Control,3,Responder,3,0,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,54.8
male,1,1,Control,3,Responder,4,1,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,48.9
male,1,1,Control,3,Responder,5,2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,1,1,Control,3,Responder,6,3,35,65,,Yes,65,,No,,21.7,Not Selected,No,No,
male,1,1,Control,3,Responder,7,4,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,1,1,Control,3,Responder,8,5,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,1,1,Control,3,Responder,9,6,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,1,1,Control,3,Responder,10,7,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,1,1,Control,3,Responder,11,8,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,1,1,Control,3,Responder,12,9,40,60,,Yes,60,,No,,20,Not Selected,No,No,
male,1,1,Control,3,Responder,13,10,40,60,,Yes,60,,No,,20,Not Selected,No,No,
male,1,1,Control,3,Responder,14,11,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,1,1,Control,3,Responder,15,12,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,1,1,Control,3,Responder,16,13,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,1,1,Control,3,Responder,17,14,30,70,,Yes,70,,No,,23.3,Not Selected,No,Yes,
male,1,1,Control,3,Responder,18,15,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
