treatment,session,id,period,player,partner,tokens,partnertokens,decisionlengthms,allocation1,allocation2,allocation3,allocation4,partnerallocation1,partnerallocation2,partnerallocation3,partnerallocation4,earnings1,earnings2,earnings3,earnings4,battle1value,battle2value,battle3value,battle4value,battle1location,battle2location,battle3location,battle4location,battle1color,battle2color,battle3color,battle4color,win1,win2,win3,win4
2,1,111,1,1,18,200,200,112773,50,50,50,50,75,25,50,50,0,0,15,15,15,15,15,15,1,3,2,4,1,0,0,0,0,0,1,1
2,1,111,2,1,17,200,200,36438,75,50,50,25,45,45,75,35,15,0,0,0,15,15,15,15,4,2,1,3,1,0,0,0,1,0,0,0
2,1,111,3,1,19,200,200,34004,75,75,25,25,50,25,50,75,0,15,15,0,15,15,15,15,1,4,2,3,1,0,0,0,0,1,1,0
2,1,111,4,1,22,200,200,30778,100,0,0,100,50,10,40,100,15,0,0,15,15,15,15,15,3,2,1,4,1,0,0,0,1,0,0,1
2,1,111,5,1,19,200,200,27876,100,25,25,50,50,30,45,75,0,0,15,0,15,15,15,15,1,4,3,2,1,0,0,0,0,0,1,0
2,1,111,6,1,22,200,200,12277,50,50,50,50,10,40,100,50,15,15,0,0,15,15,15,15,2,1,4,3,1,0,0,0,1,1,0,0
2,1,111,7,1,16,200,200,18704,50,50,50,50,60,20,100,20,15,0,15,15,15,15,15,15,4,2,3,1,1,0,0,0,1,0,1,1
2,1,111,8,1,17,200,200,10624,50,50,50,50,45,50,50,55,0,15,15,15,15,15,15,15,2,3,1,4,1,0,0,0,0,1,1,1
2,1,111,9,1,14,200,200,17238,55,50,45,50,100,70,10,20,15,0,15,15,15,15,15,15,4,2,3,1,1,0,0,0,1,0,1,1
2,1,111,10,1,12,200,200,11216,50,50,50,50,50,50,50,50,0,0,15,0,15,15,15,15,2,1,3,4,1,0,0,0,0,0,1,0
2,1,111,11,1,15,200,200,11528,50,50,50,50,60,58,40,42,0,15,15,0,15,15,15,15,4,2,1,3,1,0,0,0,0,1,1,0
2,1,111,12,1,22,200,200,10093,50,55,45,50,100,40,10,50,15,15,15,15,15,15,15,15,1,4,2,3,1,0,0,0,1,1,1,1
2,1,111,13,1,19,200,200,14118,65,45,55,35,75,50,50,25,15,15,0,15,15,15,15,15,1,4,2,3,1,0,0,0,1,1,0,1
2,1,111,14,1,16,200,200,15007,55,45,75,25,40,20,60,80,15,15,15,15,15,15,15,15,4,2,3,1,1,0,0,0,1,1,1,1
2,1,111,15,1,20,200,200,53711,100,40,30,30,60,60,60,20,15,15,15,15,15,15,15,15,1,2,3,4,1,0,0,0,1,1,1,1
2,1,111,16,1,19,200,200,8502,60,60,20,60,80,40,60,20,15,0,0,15,15,15,15,15,1,3,4,2,1,0,0,0,1,0,0,1
