round,ppnr,groupid,ingroupid,bidnr,price,session,biddinground,currentprice,jump,decision,cv,signal,q5,q6,q7,q8,q9,q10,q11,q12,profit,firstjump,bidcount,entering,verdiensten
1,31,2,5,1,145,3,6,140,5,0,120,77,,,,,,,,,-46,,1,0,0
2,31,2,4,1,90,3,2,0,90,0,118,138,,,,,,,,,-27,90,2,1,0
2,31,2,4,2,145,3,7,140,5,0,118,138,,,,,,,,,-27,90,2,1,0
3,31,2,5,1,90,3,3,80,10,0,66,85,,,,,,,,,-29,,1,0,0
4,31,1,5,1,75,3,2,0,75,1,113,148,,,,,,,,,-6,75,3,1,-6
4,31,1,5,2,105,3,9,100,5,1,113,148,,,,,,,,,-6,75,3,1,-6
4,31,1,5,3,120,3,17,116,4,1,113,148,,,,,,,,,-6,75,3,1,-6
5,31,2,3,1,50,3,1,0,50,0,70,108,,,,,,,,,-45,50,1,1,0
6,31,1,2,1,50,3,1,0,50,0,130,134,,,,,,,,,14,50,1,1,0
7,31,1,4,1,45,3,1,0,45,0,129,73,,,,,,,,,8,45,4,1,0
7,31,1,4,2,51,3,3,50,1,0,129,73,,,,,,,,,8,45,4,1,0
7,31,1,4,3,70,3,6,60,10,0,129,73,,,,,,,,,8,45,4,1,0
7,31,1,4,4,115,3,20,113,2,0,129,73,,,,,,,,,8,45,4,1,0
8,31,2,4,1,95,3,1,0,95,0,154,189,,,,,,,,,-6,95,6,1,0
8,31,2,4,2,120,3,3,100,20,0,154,189,,,,,,,,,-6,95,6,1,0
8,31,2,4,3,125,3,8,120,5,0,154,189,,,,,,,,,-6,95,6,1,0
8,31,2,4,4,130,3,10,128,2,0,154,189,,,,,,,,,-6,95,6,1,0
8,31,2,4,5,150,3,13,134,16,0,154,189,,,,,,,,,-6,95,6,1,0
8,31,2,4,6,155,3,20,150,5,0,154,189,,,,,,,,,-6,95,6,1,0
9,31,1,2,1,25,3,5,20,5,0,119,74,,,,,,,,,37,,2,0,0
9,31,1,2,2,50,3,7,30,20,0,119,74,,,,,,,,,37,,2,0,0
10,31,2,2,1,25,3,2,0,25,0,56,33,,,,,,,,,5,25,1,1,0
11,31,2,4,1,75,3,5,40,35,0,115,116,,,,,,,,,27,,2,0,0
11,31,2,4,2,85,3,9,80,5,0,115,116,,,,,,,,,27,,2,0,0
12,31,2,1,1,56,3,12,55,1,0,81,0,,,,,,,,,-22,,1,0,0
13,31,2,2,1,105,3,5,100,5,0,118,112,,,,,,,,,7,,1,0,0
14,31,2,1,1,95,3,3,50,45,0,130,166,,,,,,,,,-21,,7,0,0
14,31,2,1,2,120,3,12,116,4,0,130,166,,,,,,,,,-21,,7,0,0
14,31,2,1,3,135,3,13,120,15,0,130,166,,,,,,,,,-21,,7,0,0
14,31,2,1,4,145,3,18,136,9,0,130,166,,,,,,,,,-21,,7,0,0
14,31,2,1,5,146,3,24,145,1,0,130,166,,,,,,,,,-21,,7,0,0
14,31,2,1,6,148,3,25,146,2,0,130,166,,,,,,,,,-21,,7,0,0
14,31,2,1,7,150,3,28,148,2,0,130,166,,,,,,,,,-21,,7,0,0
16,31,1,4,1,50,3,1,0,50,0,91,103,,,,,,,,,-7,50,1,1,0
17,31,2,4,1,75,3,3,10,65,0,93,117,,,,,,,,,3,,2,0,0
17,31,2,4,2,85,3,4,75,10,0,93,117,,,,,,,,,3,,2,0,0
19,31,1,4,1,50,3,2,0,50,0,98,112,,,,,,,,,36,50,1,1,0
20,31,2,3,1,30,3,1,0,30,0,79,57,,,,,,,,,22,30,1,1,0
21,31,2,5,1,106,3,6,105,1,0,116,99,,,,,,,,,10,,1,0,0
22,31,1,2,1,100,3,3,60,40,0,167,167,,,,,,,,,32,,3,0,0
22,31,1,2,2,130,3,8,116,14,0,167,167,,,,,,,,,32,,3,0,0
22,31,1,2,3,135,3,13,133,2,0,167,167,,,,,,,,,32,,3,0,0
23,31,1,4,1,50,3,1,0,50,0,130,99,,,,,,,,,75,50,1,1,0
24,31,1,4,1,70,3,2,0,70,0,96,103,,,,,,,,,-14,70,1,1,0
25,31,1,5,1,50,3,1,0,50,0,97,100,,,,,,,,,-7,50,2,1,0
25,31,1,5,2,95,3,5,90,5,0,97,100,,,,,,,,,-7,50,2,1,0
26,31,1,2,1,25,3,2,0,25,0,58,61,,,,,,,,,-22,25,1,1,0
27,31,1,4,1,55,3,2,0,55,0,90,111,,,,,,,,,-5,55,3,1,0
27,31,1,4,2,80,3,5,69,11,0,90,111,,,,,,,,,-5,55,3,1,0
27,31,1,4,3,85,3,8,83,2,0,90,111,,,,,,,,,-5,55,3,1,0
28,31,2,4,1,80,3,4,60,20,1,94,139,,,,,,,,,-10,,5,0,-10
28,31,2,4,2,90,3,6,83,7,1,94,139,,,,,,,,,-10,,5,0,-10
28,31,2,4,3,100,3,10,90,10,1,94,139,,,,,,,,,-10,,5,0,-10
28,31,2,4,4,103,3,14,101,2,1,94,139,,,,,,,,,-10,,5,0,-10
28,31,2,4,5,105,3,15,103,2,1,94,139,,,,,,,,,-10,,5,0,-10
1,32,2,2,1,154,3,1,0,154,1,120,177,,,,,,,,,-46,154,5,1,-46
1,32,2,2,2,158,3,9,154,4,1,120,177,,,,,,,,,-46,154,5,1,-46
1,32,2,2,3,160,3,10,158,2,1,120,177,,,,,,,,,-46,154,5,1,-46
1,32,2,2,4,165,3,11,160,5,1,120,177,,,,,,,,,-46,154,5,1,-46
1,32,2,2,5,167,3,14,165,2,1,120,177,,,,,,,,,-46,154,5,1,-46
2,32,1,5,1,40,3,5,30,10,1,74,112,,,,,,,,,-16,,7,0,-16
2,32,1,5,2,60,3,8,55,5,1,74,112,,,,,,,,,-16,,7,0,-16
2,32,1,5,3,79,3,15,77,2,1,74,112,,,,,,,,,-16,,7,0,-16
2,32,1,5,4,81,3,16,79,2,1,74,112,,,,,,,,,-16,,7,0,-16
2,32,1,5,5,83,3,17,81,2,1,74,112,,,,,,,,,-16,,7,0,-16
2,32,1,5,6,87,3,19,85,2,1,74,112,,,,,,,,,-16,,7,0,-16
2,32,1,5,7,92,3,21,90,2,1,74,112,,,,,,,,,-16,,7,0,-16
3,32,1,1,1,70,3,6,40,30,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,2,85,3,14,80,5,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,3,100,3,18,95,5,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,4,110,3,20,101,9,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,5,113,3,24,110,3,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,6,115,3,25,113,2,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,7,121,3,29,118,3,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,8,123,3,31,121,2,1,131,146,,,,,,,,,8,,9,0,8
3,32,1,1,9,124,3,32,123,1,1,131,146,,,,,,,,,8,,9,0,8
5,32,2,5,1,20,3,3,15,5,0,70,113,,,,,,,,,-45,,3,0,0
5,32,2,5,2,70,3,7,66,4,0,70,113,,,,,,,,,-45,,3,0,0
5,32,2,5,3,112,3,22,110,2,0,70,113,,,,,,,,,-45,,3,0,0
6,32,1,3,1,90,3,3,20,70,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,2,95,3,9,90,5,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,3,105,3,11,100,5,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,4,107,3,14,105,2,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,5,109,3,16,108,1,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,6,110,3,17,109,1,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,7,111,3,18,110,1,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,8,112,3,19,111,1,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,9,113,3,20,112,1,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,10,114,3,21,113,1,0,130,141,,,,,,,,,14,,11,0,0
6,32,1,3,11,116,3,22,114,2,0,130,141,,,,,,,,,14,,11,0,0
7,32,1,3,1,90,3,7,61,29,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,2,105,3,15,96,9,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,3,110,3,17,106,4,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,4,112,3,18,110,2,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,5,113,3,19,112,1,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,6,116,3,21,115,1,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,7,117,3,22,116,1,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,8,118,3,23,117,1,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,9,119,3,24,118,1,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,10,120,3,25,119,1,1,129,147,,,,,,,,,8,,11,0,8
7,32,1,3,11,121,3,26,120,1,1,129,147,,,,,,,,,8,,11,0,8
8,32,2,2,1,100,3,1,0,100,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,2,105,3,4,100,5,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,3,120,3,7,119,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,4,128,3,9,125,3,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,5,132,3,11,130,2,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,6,134,3,12,132,2,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,7,141,3,14,140,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,8,142,3,15,141,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,9,146,3,17,145,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,10,156,3,21,155,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,11,157,3,22,156,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,12,158,3,23,157,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,13,159,3,24,158,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,14,160,3,25,159,1,1,154,171,,,,,,,,,-6,100,15,1,-6
8,32,2,2,15,161,3,26,160,1,1,154,171,,,,,,,,,-6,100,15,1,-6
9,32,2,3,1,112,3,4,110,2,0,133,141,,,,,,,,,1,,2,0,0
9,32,2,3,2,121,3,7,120,1,0,133,141,,,,,,,,,1,,2,0,0
10,32,1,3,1,5,3,1,0,5,0,91,59,,,,,,,,,1,5,1,1,0
11,32,1,3,1,40,3,1,0,40,0,97,104,,,,,,,,,-13,40,5,1,0
11,32,1,3,2,86,3,3,85,1,0,97,104,,,,,,,,,-13,40,5,1,0
11,32,1,3,3,95,3,6,94,1,0,97,104,,,,,,,,,-13,40,5,1,0
11,32,1,3,4,101,3,9,100,1,0,97,104,,,,,,,,,-13,40,5,1,0
11,32,1,3,5,106,3,13,105,1,0,97,104,,,,,,,,,-13,40,5,1,0
12,32,2,5,1,40,3,4,15,25,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,2,42,3,7,41,1,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,3,50,3,8,42,8,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,4,55,3,10,50,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,5,60,3,13,56,4,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,6,65,3,14,60,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,7,70,3,16,65,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,8,75,3,17,70,5,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,9,77,3,20,75,2,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,10,80,3,21,77,3,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,11,83,3,22,80,3,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,12,85,3,23,83,2,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,13,88,3,24,85,3,1,81,121,,,,,,,,,-22,,22,0,-22
12,32,2,5,14,92,3,27,88,4,1,81,121,,,,,,,,,-22,,22,0,-22
