ppnr,round,verdiensten,decision,price,mydrop,groupid,ingroupid,cv,signal,session,treatment,droporder,dropone,droptwo,dropthree,dropfour,dropfive,sigorder,sigone,sigtwo,sigthree,sigfour,sigfive,nashbidone,nashbidtwo,nashbidthree,nashbidfour,nashbidfive,bidsignalone,bidsignaltwo,bidsignalthree,bidsignalfour,bidsignalfive,bidsignal,sigavgone,sigavgtwo,sigavgthree,sigavgfour,sigavgfive,sigavg,brbidsignalone,brbidsignaltwo,brbidsignalthree,brbidsignalfour,brbidsignalfive,brbidsignal,sigavgonereal,sigavgtworeal,sigavgthreereal,sigavgfourreal,sigavgfivereal,nashbidreal,brsigavg,nashbid,brsigavgone,brsigavgtwo,brsigavgthree,brsigavgfour,brsigavgfive,profit,avgtotverd,totverdeuros,earnings,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,infosource,angledeg
31,1,20,0,166,145,2,5,120,77,3,2,1,145,160,165,166,167,1,77,148,171,175,177,83.477,124.28,134.2,135.34,135.92,77,148,171,175,177,77,77,112.5,132,142.75,143.25,77,92.23,116.22,123.99,125.34,126.01,92.23,77,160,163.67,118,125.25,83.477,0,0,0,0,0,0,0,-46,19.466667,25,100,,,,,,,,,,,,
31,2,20,0,145,145,2,4,118,138,3,2,4,0,130,140,145,145,4,62,124,135,138,192,72.701,108.33,113.07,113.94,129.45,62,124,135,138,192,138,62,93,107,114.75,128.25,114.75,87.162,108.11,111.82,112.84,131.08,112.84,62,62,131.67,115.5,129,118.58,0,0,0,0,0,0,0,-27,19.466667,25,100,,,,,,,,,,,,
31,3,20,0,95,90,2,5,66,85,3,2,3,0,20,90,95,114,3,50,66,85,111,114,64.08,73.276,81.466,88.937,89.799,50,66,85,111,114,85,50,58,67,78,78.75,67,83.108,88.514,94.932,103.72,104.73,94.932,50,33,41.667,108.75,109.5,61.351,0,0,0,0,0,0,0,-29,19.466667,25,100,,,,,,,,,,,,
31,4,14,1,119,120,1,5,113,148,3,2,5,0,115,116,119,120,5,69,90,97,123,148,77.73,89.799,92.816,100.29,107.47,69,90,97,123,148,148,69,79.5,85.333,94.75,101,101,89.527,96.622,98.986,107.77,116.22,116.22,69,48.5,117.67,103.5,118,111.8,0,0,0,0,0,0,0,-6,19.466667,25,100,,,,,,,,,,,,
31,5,20,0,115,50,2,3,70,108,3,2,1,50,110,112,115,122,2,102,108,113,126,154,101.44,104.89,107.04,110.78,118.82,102,108,113,126,154,108,102,105,107.67,112.25,119.25,105,100.68,102.7,104.39,108.78,118.24,102.7,108,88,111,106.5,119.5,101.44,0,0,0,0,0,0,0,-45,19.466667,25,100,,,,,,,,,,,,
31,6,20,0,116,50,1,2,130,134,3,2,1,50,88,108,116,117,3,83,91,134,141,171,87.787,92.385,110.92,112.93,121.55,83,91,134,141,171,134,83,87,102.67,112.25,119.75,102.67,94.257,96.959,111.49,113.85,123.99,111.49,134,66.5,89,116.25,123.75,87.787,0,0,0,0,0,0,0,14,19.466667,25,100,,,,,,,,,,,,
31,7,20,0,121,115,1,4,129,73,3,2,3,96,106,115,121,121,1,73,98,104,118,147,80.603,94.971,97.557,101.58,109.91,73,98,104,118,147,73,73,85.5,91.667,98.25,105.5,73,90.878,99.324,101.35,106.08,115.88,90.878,104,107,95,105.5,117.75,102.55,0,0,0,0,0,0,0,8,19.466667,25,100,,,,,,,,,,,,
31,8,20,0,160,155,2,4,154,189,3,2,3,111,119,155,160,161,5,146,150,168,171,189,133.05,135.34,143.1,143.97,149.14,146,150,168,171,189,189,146,148,154.67,158.75,163.25,163.25,115.54,116.89,122.97,123.99,130.07,130.07,150,139.5,142.33,117.5,123.75,135.2,0,0,0,0,0,0,0,-6,19.466667,25,100,,,,,,,,,,,,
31,9,20,0,82,50,1,2,119,74,3,2,1,50,72,80,82,100,3,49,71,74,109,124,63.362,76.006,77.299,87.356,91.667,49,71,74,109,124,74,49,60,64.667,75.75,79.5,64.667,82.77,90.203,91.216,103.04,108.11,91.216,74,60.5,84.333,93.25,112,63.362,0,0,0,0,0,0,0,37,19.466667,25,100,,,,,,,,,,,,
31,10,20,0,51,25,2,2,56,33,3,2,2,0,25,50,51,80,1,33,43,47,55,64,51.868,57.615,59.339,61.638,64.224,33,43,47,55,64,33,33,38,41,44.5,46.75,33,77.365,80.743,82.095,84.797,87.838,77.365,47,16.5,31,94.75,97,48.851,0,0,0,0,0,0,0,5,19.466667,25,100,,,,,,,,,,,,
31,11,20,0,88,85,2,4,115,116,3,2,3,22,40,85,88,92,5,70,94,95,95,116,78.448,92.241,92.672,92.672,98.707,70,94,95,95,116,116,70,82,86.333,88.5,93.75,93.75,89.865,97.973,98.311,98.311,105.41,105.41,70,58.5,65.333,104.5,104.75,73.293,0,0,0,0,0,0,0,27,19.466667,25,100,,,,,,,,,,,,
31,12,20,0,103,56,2,1,81,0,3,2,3,10,41,56,103,105,1,0,35,48,108,121,28.161,48.276,53.879,71.121,74.856,0,35,48,108,121,0,0,17.5,27.667,47.75,51,0,66.216,78.041,82.432,102.7,107.09,66.216,48,22.5,27.333,108,111.25,51.609,0,0,0,0,0,0,0,-22,19.466667,25,100,,,,,,,,,,,,
31,13,20,0,111,105,2,2,118,112,3,2,2,53,105,110,111,113,2,52,112,117,141,142,65.517,100,102.16,109.05,109.34,52,112,117,141,142,112,52,82,93.667,105.5,105.75,82,83.784,104.05,105.74,113.85,114.19,104.05,52,82.5,109,116.25,116.5,98.253,0,0,0,0,0,0,0,7,19.466667,25,100,,,,,,,,,,,,
31,14,20,0,151,150,2,1,130,166,3,2,3,105,139,150,151,152,4,105,157,162,166,171,103.59,133.48,135.63,136.78,138.22,105,157,162,166,171,166,105,131,141.33,147.5,148.75,147.5,101.69,119.26,120.95,122.3,123.99,122.3,105,131,148,123.75,121.5,136.38,0,0,0,0,0,0,0,-21,19.466667,25,100,,,,,,,,,,,,
31,15,20,0,98,0,2,4,90,63,3,2,1,0,50,80,98,98,2,44,63,90,94,104,59.77,70.69,82.328,83.477,86.351,44,63,90,94,104,63,44,53.5,65.667,72.75,75.25,53.5,81.081,87.5,96.622,97.973,101.35,87.5,63,22,64.667,103.5,107,59.77,0,0,0,0,0,0,0,-8,19.466667,25,100,,,,,,,,,,,,
31,16,20,0,98,50,1,4,91,103,3,2,1,50,55,95,98,100,5,33,90,95,96,103,51.868,84.626,86.782,87.069,89.08,33,90,95,96,103,103,33,61.5,72.667,78.5,80.25,80.25,77.365,96.622,98.311,98.649,101.01,101.01,103,41.5,68.333,103.5,105,51.868,0,0,0,0,0,0,0,-7,19.466667,25,100,,,,,,,,,,,,
31,17,20,0,90,85,2,4,93,117,3,2,3,0,10,85,90,103,3,55,95,117,120,130,67.672,90.661,100.14,101.01,103.88,55,95,117,120,130,117,55,75,89,96.75,99.25,89,84.797,98.311,105.74,106.76,110.14,105.74,120,27.5,45.667,104.75,113.5,72.845,0,0,0,0,0,0,0,3,19.466667,25,100,,,,,,,,,,,,
31,18,20,0,110,0,1,5,130,101,3,2,2,0,0,101,110,110,1,101,116,117,118,135,100.72,109.34,109.77,110.06,114.94,101,116,117,118,135,101,101,108.5,111.33,113,117.25,101,100.34,105.41,105.74,106.08,111.82,100.34,101,59,45,110,110.25,100.72,0,0,0,0,0,0,0,20,19.466667,25,100,,,,,,,,,,,,
31,19,20,0,62,50,1,4,98,112,3,2,2,0,50,51,62,70,4,21,30,51,112,124,43.247,48.42,57.471,75,78.448,21,30,51,112,124,112,21,25.5,34,53.5,56.5,53.5,73.311,76.351,83.446,104.05,108.11,104.05,21,56,50.333,88.5,112,41.379,0,0,0,0,0,0,0,36,19.466667,25,100,,,,,,,,,,,,
31,20,20,0,57,30,2,3,79,57,3,2,2,0,30,56,57,60,2,36,57,65,98,110,54.023,66.092,69.54,79.023,82.471,36,57,65,98,110,57,36,46.5,52.667,64,67,46.5,78.378,85.473,88.176,99.324,103.38,85.473,110,28.5,32,97.25,105.5,56.897,0,0,0,0,0,0,0,22,19.466667,25,100,,,,,,,,,,,,
31,21,20,0,106,106,2,5,116,99,3,2,4,0,101,105,106,115,2,47,99,102,110,117,61.925,91.81,93.103,95.402,97.414,47,99,102,110,117,99,47,73,82.667,89.5,91.25,73,82.095,99.662,100.68,103.38,105.74,99.662,47,51,106.33,105.75,108.5,95.364,0,0,0,0,0,0,0,10,19.466667,25,100,,,,,,,,,,,,
31,22,20,0,135,135,1,2,167,167,3,2,4,0,126,133,135,135,4,141,152,154,167,192,129.45,135.78,136.64,140.37,147.56,141,152,154,167,192,167,141,146.5,149,153.5,159.75,153.5,113.85,117.57,118.24,122.64,131.08,122.64,154,76,131,122.75,129,124.16,0,0,0,0,0,0,0,32,19.466667,25,100,,,,,,,,,,,,
31,23,20,0,55,50,1,4,130,99,3,2,3,0,0,50,55,68,3,76,84,99,126,154,82.759,87.356,93.822,101.58,109.63,76,84,99,126,154,99,76,80,86.333,96.25,103.25,86.333,91.892,94.595,99.662,108.78,118.24,99.662,84,77,33,100,112.5,62.787,0,0,0,0,0,0,0,75,19.466667,25,100,,,,,,,,,,,,
31,24,20,0,110,70,1,4,96,103,3,2,1,70,86,110,110,115,2,44,103,120,124,130,59.77,93.678,101.01,102.16,103.88,44,103,120,124,130,103,44,73.5,89,97.75,99.25,73.5,81.081,101.01,106.76,108.11,110.14,101.01,103,57,97.333,112,113.5,59.77,0,0,0,0,0,0,0,-14,19.466667,25,100,,,,,,,,,,,,
31,25,20,0,104,95,1,5,97,100,3,2,3,0,84,95,104,105,3,78,82,100,109,109,84.195,86.494,94.253,96.839,96.839,78,82,100,109,109,100,78,80,86.667,92.25,92.25,86.667,92.568,93.919,100,103.04,103.04,100,78,54.5,89.333,108.25,101.5,82.529,0,0,0,0,0,0,0,-7,19.466667,25,100,,,,,,,,,,,,
31,26,20,0,80,25,1,2,58,61,3,2,1,25,50,71,80,80,2,44,61,86,90,104,59.77,69.54,80.316,81.466,85.489,44,61,86,90,104,61,44,52.5,63.667,70.25,73.75,52.5,81.081,86.824,95.27,96.622,101.35,86.824,61,34.5,63.333,102.5,107,59.77,0,0,0,0,0,0,0,-22,19.466667,25,100,,,,,,,,,,,,
31,27,20,0,95,85,1,4,90,111,3,2,2,69,85,94,95,99,4,70,80,110,111,118,78.448,84.195,97.126,97.414,99.425,70,80,110,111,118,111,70,75,86.667,92.75,94.5,92.75,89.865,93.243,103.38,103.72,106.08,103.72,70,90,93.333,110.5,101,82.805,0,0,0,0,0,0,0,-5,19.466667,25,100,,,,,,,,,,,,
31,28,10,1,104,105,2,4,94,139,3,2,5,60,86,101,104,105,5,62,62,72,97,139,72.701,72.701,77.011,84.195,96.264,62,62,72,97,139,139,62,62,65.333,73.25,83.75,83.75,87.162,87.162,90.541,98.986,113.18,113.18,62,61,89.667,99,115.75,105.69,0,0,0,0,0,0,0,-10,19.466667,25,100,,,,,,,,,,,,
31,29,20,0,125,0,2,4,111,125,3,2,1,0,107,117,125,127,3,106,109,125,135,149,104.31,106.03,112.93,115.8,119.83,106,109,125,135,149,125,106,107.5,113.33,118.75,122.25,113.33,102.03,103.04,108.45,111.82,116.55,108.45,125,54.5,106.67,114.75,118.25,104.31,0,0,0,0,0,0,0,-14,19.466667,25,100,,,,,,,,,,,,
31,30,20,0,101,0,1,4,119,111,3,2,1,0,92,100,101,116,3,80,107,111,125,135,85.632,101.15,102.87,106.9,109.77,80,107,111,125,135,111,80,93.5,99.333,105.75,108.25,99.333,93.243,102.36,103.72,108.45,111.82,103.72,111,40,97,112.25,114.75,85.632,0,0,0,0,0,0,0,18,19.466667,25,100,,,,,,,,,,,,
32,1,-26,1,166,167,2,2,120,177,3,2,5,145,160,165,166,167,5,77,148,171,175,177,83.477,124.28,134.2,135.34,135.92,77,148,171,175,177,177,77,112.5,132,142.75,143.25,143.25,92.23,116.22,123.99,125.34,126.01,126.01,77,160,163.67,118,125.25,155.38,0,0,0,0,0,0,0,-46,15,12.5,50,,,,,,,,,,,,
32,2,4,1,90,92,1,5,74,112,3,2,5,12,77,90,90,92,5,59,69,76,112,112,70.546,76.293,79.31,89.655,89.655,59,69,76,112,112,112,59,64,68,79,79,79,86.149,89.527,91.892,104.05,104.05,104.05,76,35.5,74.333,109,109,88.766,0,0,0,0,0,0,0,-16,15,12.5,50,,,,,,,,,,,,
32,3,28,1,123,124,1,1,131,146,3,2,5,56,95,120,123,124,5,94,102,134,140,146,95.69,100.29,114.08,115.8,117.53,94,102,134,140,146,146,94,98,110,117.5,119,119,97.973,100.68,111.49,113.51,115.54,115.54,102,75,110,114.5,117.5,114.54,0,0,0,0,0,0,0,8,15,12.5,50,,,,,,,,,,,,
32,4,20,0,119,0,1,1,113,69,3,2,1,0,115,116,119,120,1,69,90,97,123,148,77.73,89.799,92.816,100.29,107.47,69,90,97,123,148,69,69,79.5,85.333,94.75,101,69,89.527,96.622,98.986,107.77,116.22,89.527,69,48.5,117.67,103.5,118,77.73,0,0,0,0,0,0,0,-6,15,12.5,50,,,,,,,,,,,,
32,5,20,0,115,112,2,5,70,113,3,2,3,50,110,112,115,122,3,102,108,113,126,154,101.44,104.89,107.04,110.78,118.82,102,108,113,126,154,113,102,105,107.67,112.25,119.25,107.67,100.68,102.7,104.39,108.78,118.24,104.39,108,88,111,106.5,119.5,101.01,0,0,0,0,0,0,0,-45,15,12.5,50,,,,,,,,,,,,
32,6,20,0,116,116,1,3,130,141,3,2,4,50,88,108,116,117,4,83,91,134,141,171,87.787,92.385,110.92,112.93,121.55,83,91,134,141,171,141,83,87,102.67,112.25,119.75,112.25,94.257,96.959,111.49,113.85,123.99,113.85,134,66.5,89,116.25,123.75,107.8,0,0,0,0,0,0,0,14,15,12.5,50,,,,,,,,,,,,
32,7,28,1,121,121,1,3,129,147,3,2,5,96,106,115,121,121,5,73,98,104,118,147,80.603,94.971,97.557,101.58,109.91,73,98,104,118,147,147,73,85.5,91.667,98.25,105.5,105.5,90.878,99.324,101.35,106.08,115.88,115.88,104,107,95,105.5,117.75,118.66,0,0,0,0,0,0,0,8,15,12.5,50,,,,,,,,,,,,
32,8,14,1,160,161,2,2,154,171,3,2,5,111,119,155,160,161,4,146,150,168,171,189,133.05,135.34,143.1,143.97,149.14,146,150,168,171,189,171,146,148,154.67,158.75,163.25,158.75,115.54,116.89,122.97,123.99,130.07,123.99,150,139.5,142.33,117.5,123.75,146.36,0,0,0,0,0,0,0,-6,15,12.5,50,,,,,,,,,,,,
32,9,20,0,132,121,2,3,133,141,3,2,3,0,114,121,132,132,3,86,127,141,146,195,89.943,113.51,119.54,120.98,135.06,86,127,141,146,195,141,86,106.5,118,125,137.25,118,95.27,109.12,113.85,115.54,132.09,113.85,127,43,123,117.5,129.75,107.1,0,0,0,0,0,0,0,1,15,12.5,50,,,,,,,,,,,,
32,10,20,0,90,5,1,3,91,59,3,2,1,5,50,50,90,90,2,47,59,86,89,96,61.925,68.822,80.46,81.322,83.333,47,59,86,89,96,59,47,53,64,70.25,72,53,82.095,86.149,95.27,96.284,98.649,86.149,59,26,63,102.5,105,61.925,0,0,0,0,0,0,0,1,15,12.5,50,,,,,,,,,,,,
32,11,20,0,110,106,1,3,97,104,3,2,3,94,105,106,110,112,3,89,101,104,119,125,92.098,98.994,100.29,104.6,106.32,89,101,104,119,125,104,89,95,98,103.25,104.75,98,96.284,100.34,101.35,106.42,108.45,101.35,89,97.5,104.67,110.75,112.25,102.05,0,0,0,0,0,0,0,-13,15,12.5,50,,,,,,,,,,,,
32,12,-2,1,103,105,2,5,81,121,3,2,5,10,41,56,103,105,5,0,35,48,108,121,28.161,48.276,53.879,71.121,74.856,0,35,48,108,121,121,0,17.5,27.667,47.75,51,51,66.216,78.041,82.432,102.7,107.09,107.09,48,22.5,27.333,108,111.25,75.23,0,0,0,0,0,0,0,-22,15,12.5,50,,,,,,,,,,,,
32,13,20,0,90,40,1,1,91,63,3,2,2,40,40,55,90,92,3,38,51,63,108,124,55.46,62.931,68.103,81.034,85.632,38,51,63,108,124,63,38,44.5,50.667,65,69,50.667,79.054,83.446,87.5,102.7,108.11,87.5,51,51.5,39.333,112,108,60.805,0,0,0,0,0,0,0,1,15,12.5,50,,,,,,,,,,,,
32,14,-1,1,151,152,2,4,130,162,3,2,5,105,139,150,151,152,3,105,157,162,166,171,103.59,133.48,135.63,136.78,138.22,105,157,162,166,171,162,105,131,141.33,147.5,148.75,141.33,101.69,119.26,120.95,122.3,123.99,120.95,105,131,148,123.75,121.5,142.16,0,0,0,0,0,0,0,-21,15,12.5,50,,,,,,,,,,,,
32,15,20,0,92,72,1,3,86,92,3,2,2,20,72,72,92,100,3,60,87,92,99,109,71.264,86.782,88.937,90.948,93.822,60,87,92,99,109,92,60,73.5,79.667,84.5,87,79.667,86.486,95.608,97.297,99.662,103.04,97.297,87,40,78.667,105.75,108.25,79.08,0,0,0,0,0,0,0,-6,15,12.5,50,,,,,,,,,,,,
32,16,20,0,100,0,2,1,74,65,3,2,1,0,65,91,100,100,3,40,60,65,100,130,56.897,68.391,70.546,80.603,89.224,40,60,65,100,130,65,40,50,55,66.25,73.75,55,79.73,86.486,88.176,100,110.14,88.176,65,30,86.667,91,106,56.897,0,0,0,0,0,0,0,-26,15,12.5,50,,,,,,,,,,,,
32,17,4,1,120,120,1,1,104,140,3,2,5,100,101,112,120,120,4,100,101,105,140,144,100,100.57,102.3,112.36,113.51,100,101,105,140,144,140,100,100.5,102,111.5,112.5,111.5,100,100.34,101.69,113.51,114.86,113.51,101,102.5,100.67,116,117,115.33,0,0,0,0,0,0,0,-16,15,12.5,50,,,,,,,,,,,,
32,18,20,0,103,66,2,4,103,56,3,2,2,0,66,100,103,110,1,56,64,94,100,123,68.391,72.989,85.92,87.644,94.253,56,64,94,100,123,56,56,60,71.333,78.5,84.25,56,85.135,87.838,97.973,100,107.77,85.135,64,28,75.333,106,111.75,60.92,0,0,0,0,0,0,0,0,15,12.5,50,,,,,,,,,,,,
32,19,28,1,86,88,2,2,94,113,3,2,5,75,76,78,86,88,5,55,67,73,77,113,67.672,74.569,77.155,78.305,88.649,55,67,73,77,113,113,55,61,65,68,77,77,84.797,88.851,90.878,92.23,104.39,104.39,73,76,73,94.75,109.25,91.015,0,0,0,0,0,0,0,8,15,12.5,50,,,,,,,,,,,,
32,20,20,0,100,55,1,3,89,112,3,2,1,55,73,75,100,103,5,52,73,79,103,112,65.517,77.586,80.172,87.069,89.655,52,73,79,103,112,112,52,62.5,68,76.75,79,79,83.784,90.878,92.905,101.01,104.05,104.05,112,64,66,100.75,106.75,65.517,0,0,0,0,0,0,0,-11,15,12.5,50,,,,,,,,,,,,
32,21,7,1,118,125,1,3,105,168,3,2,5,0,85,117,118,125,5,73,83,108,163,168,80.603,86.351,97.126,112.93,114.37,73,83,108,163,168,168,73,78,88,106.75,108,108,90.878,94.257,102.7,121.28,122.97,122.97,73,41.5,111,108,123,113.26,0,0,0,0,0,0,0,-13,15,12.5,50,,,,,,,,,,,,
32,22,20,0,114,0,2,5,124,107,3,2,2,0,0,110,114,125,2,107,107,119,159,165,105.03,105.03,110.2,121.7,123.42,107,107,119,159,165,107,107,107,111,123,124.5,107,102.36,102.36,106.42,119.93,121.96,102.36,107,53.5,55,110.75,120.75,85.632,0,0,0,0,0,0,0,10,15,12.5,50,,,,,,,,,,,,
32,23,20,0,55,55,1,3,130,76,3,2,4,0,0,50,55,68,1,76,84,99,126,154,82.759,87.356,93.822,101.58,109.63,76,84,99,126,154,76,76,80,86.333,96.25,103.25,76,91.892,94.595,99.662,108.78,118.24,91.892,84,77,33,100,112.5,67.625,0,0,0,0,0,0,0,75,15,12.5,50,,,,,,,,,,,,
32,24,-14,1,118,120,2,1,84,172,3,2,5,100,102,115,118,120,5,66,101,105,144,172,75.575,95.69,97.414,108.62,116.67,66,101,105,144,172,172,66,83.5,90.667,104,111,111,88.514,100.34,101.69,114.86,124.32,124.32,101,83,116,107.25,124,125.59,0,0,0,0,0,0,0,-34,15,12.5,50,,,,,,,,,,,,
32,25,20,0,104,84,1,4,97,109,3,2,2,0,84,95,104,105,4,78,82,100,109,109,84.195,86.494,94.253,96.839,96.839,78,82,100,109,109,109,78,80,86.667,92.25,92.25,92.25,92.568,93.919,100,103.04,103.04,103.04,78,54.5,89.333,108.25,101.5,71.264,0,0,0,0,0,0,0,-7,15,12.5,50,,,,,,,,,,,,
32,26,20,0,125,53,2,5,124,77,3,2,2,0,53,121,125,126,1,77,102,124,168,183,83.477,97.845,107.33,119.97,124.28,77,102,124,168,183,77,77,89.5,101,117.75,121.5,77,92.23,100.68,108.11,122.97,128.04,92.23,102,38.5,76.667,126.75,123,82.759,0,0,0,0,0,0,0,-1,15,12.5,50,,,,,,,,,,,,
32,27,20,0,67,50,2,1,101,70,3,2,3,0,0,50,67,75,4,4,18,45,70,107,31.034,39.08,50.718,57.902,68.534,4,18,45,70,107,70,4,11,22.333,34.25,43.5,34.25,67.568,72.297,81.419,89.865,102.36,89.865,4,9,23.333,92.25,107.75,39.511,0,0,0,0,0,0,0,34,15,12.5,50,,,,,,,,,,,,
32,28,20,0,91,84,1,1,105,92,3,2,3,21,71,84,91,92,5,40,79,84,86,92,56.897,79.31,81.466,82.04,83.764,40,79,84,86,92,92,40,59.5,67.667,72.25,73.75,73.75,79.73,92.905,94.595,95.27,97.297,97.297,40,50,78,102,102.5,75.54,0,0,0,0,0,0,0,14,15,12.5,50,,,,,,,,,,,,
32,29,20,0,125,125,2,5,111,135,3,2,4,0,107,117,125,127,4,106,109,125,135,149,104.31,106.03,112.93,115.8,119.83,106,109,125,135,149,135,106,107.5,113.33,118.75,122.25,118.75,102.03,103.04,108.45,111.82,116.55,111.82,125,54.5,106.67,114.75,118.25,107.15,0,0,0,0,0,0,0,-14,15,12.5,50,,,,,,,,,,,,
32,30,20,0,101,100,1,1,119,107,3,2,3,0,92,100,101,116,2,80,107,111,125,135,85.632,101.15,102.87,106.9,109.77,80,107,111,125,135,107,80,93.5,99.333,105.75,108.25,93.5,93.243,102.36,103.72,108.45,111.82,102.36,111,40,97,112.25,114.75,89.109,0,0,0,0,0,0,0,18,15,12.5,50,,,,,,,,,,,,
