treatment,session_no,id,subject,period,subjects,group,Profit,TotalProfit,Participate,global_period,decision_1,earnings_1,RandomPeriod1,RandomPeriod2,rand,rank,consent,ans1,ans3a,ans4a,ans5a,ans6,ans7,random_no0,time0,time0_group1,time0_group2,time0_group3,time0_group4,time0_group5,time0_group6,time0_group7,time0_group8,time0_group9,time0_group10,decision_0,random_no1,time1,time1_group1,time1_group2,time1_group3,time1_group4,time1_group5,time1_group6,time1_group7,time1_group8,time1_group9,time1_group10,TimeINVESTDecisionStage1Group1OK,TimeINVESTDecisionStage1Group2OK,TimeINVESTDecisionStage1Group3OK,TimeINVESTDecisionStage1Group4OK,TimeINVESTDecisionStage1Group5OK,TimeINVESTDecisionStage1Group6OK,TimeINVESTDecisionStage1Group7OK,TimeINVESTDecisionStage1Group8OK,TimeINVESTDecisionStage1Group9OK,TimeINVESTDecisionStage1Group10O,group_success1,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,rn1,rn2,RN1,RN2,payoff_HL,decision,choice,prob1,prob2,friends,family,fb,stress,risks,taste_friends,argue_friends,defend_unpopular,less_fortunate,themselves,community,finds_fault,cold_aloof,considerate_kind,cooperate,rude,helpful_unselfish,quarrels,forgiving,trusting,gender,caste,age,religion,Marks10,Marks12,student,major,fam_inc,finalPayoff1,finalPayoff2,volunteerid_1,LeaveStage,gain_1,chosen_name,nickname_1,namecount_1,nickname_2,namecount_2,nickname_3,namecount_3,nickname_4,namecount_4,nickname_5,namecount_5,nickname_6,namecount_6,nickname_7,namecount_7,nickname_8,namecount_8,nickname_9,namecount_9,nickname_10,namecount_10,volunteername_1,gender_ans,gender_chosen,rank2,nonvolunteername1,nonvolunteername2,first_name,last_name,finalPayoff
1,1,1,1,1,subjects,1,0,0,0,1,0,900,6,11,.417671511144224,2,1,0,300,300,100,2,3,0,,,,,,,,,,,,,0,46,46,78,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.885673095418919,.775853646349093,10,10,385,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,,,11,0,900,Akash,54,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,Ashok,,,,,,,,
1,1,1,1,2,subjects,1,0,0,0,2,0,100,6,11,.5529898188789319,1,-,-,-,-,-,-,-,.523242916689833,,,,,,,,,,,,,.396224949693412,63,63,61,49,88,0,0,0,0,0,0,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,0,0,100,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
1,1,1,1,3,subjects,1,0,0,0,3,0,100,6,11,.97771311689993,3,-,-,-,-,-,-,-,0,,,,,,,,,,,,,0,61,61,69,68,84,0,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,0,0,100,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
1,1,1,1,4,subjects,1,0,0,0,4,1,300,6,11,.438727278001013,2,-,-,-,-,-,-,-,0,,,,,,,,,,,,,0,78,78,69,65,82,0,0,0,0,0,0,27,0,0,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,1,0,300,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Akash,,,,,,,,
1,1,1,1,5,subjects,1,0,0,0,5,1,300,6,11,.352729497176003,2,-,-,-,-,-,-,-,0,,,,,,,,,,,,,0,63,63,65,79,78,0,0,0,0,0,0,8,0,-,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,1,0,300,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Akash,,,,,,,,
1,1,1,1,6,subjects,1,0,0,0,6,0,100,6,11,.432691728897714,3,-,-,-,-,-,-,-,0,,,,,,,,,,,,,0,72,72,84,56,67,0,0,0,0,0,0,-,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,100,,0,0,100,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
1,1,1,1,7,subjects,1,0,0,0,7,0,900,6,11,.0923445374203587,1,-,-,-,-,-,-,-,.367938807871164,,,,,,,,,,,,,.899351620068471,85,85,57,76,50,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,100,,3,0,900,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kanika,,,,,,,,
1,1,1,1,8,subjects,1,0,0,0,8,0,900,6,11,.981067989478385,3,-,-,-,-,-,-,-,0,,,,,,,,,,,,,0,82,82,57,55,46,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,100,,12,0,900,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ishan,,,,,,,,
1,1,1,1,9,subjects,1,0,0,0,9,0,100,6,11,.571785661192511,1,-,-,-,-,-,-,-,.699366401740986,,,,,,,,,,,,,.0046302503927752,45,45,48,59,47,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,100,,0,0,100,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
1,1,1,1,10,subjects,1,0,0,0,10,0,900,6,11,.94769930092045,3,-,-,-,-,-,-,-,0,,,,,,,,,,,,,0,79,79,84,61,50,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,100,,2,0,900,Akash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gaurav,,,,,,,,
