		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
		Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision
VARIABLES	LABELS	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx	mfx dydx
													
female	Female	0.090**	0.087**	0.148***	0.025	0.026	0.017	0.103	0.082	0.213***	0.002	-0.036	-0.036
		(0.04)	(0.04)	(0.05)	(0.05)	(0.05)	(0.05)	(0.06)	(0.06)	(0.06)	(0.06)	(0.06)	(0.06)
period	Round	-0.010*	-0.010*	-0.010*	0.001	0.001	0.001	-0.001	-0.001	-0.002	-0.004	-0.004	-0.005
		(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.00)	(0.00)	(0.00)	(0.00)	(0.01)	(0.01)
share_females_session	Female Session Share			0.004			0.049			-0.258			-0.174
				(0.14)			(0.35)			(0.41)			(0.69)
													
Observations		750	750	750	750	750	750	600	600	600	750	750	750
Treatment		T1	T1	T1	T2	T2	T2	T3	T3	T3	T4	T4	T4
Behavioral Controls		No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes
Demographic Controls		No	No	Yes	No	No	Yes	No	No	Yes	No	No	Yes
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
