		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision	Main Rounds: Investment Decision
							
comp_scale	Competitiveness	-0.041***	-0.023*	-0.020	-0.021*	-0.015**	-0.019***
		(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)
female	Female	0.096**	0.001	0.059	0.035	0.055	0.043**
		(0.04)	(0.05)	(0.05)	(0.05)	(0.03)	(0.02)
period	Round	-0.012**	-0.001	-0.008*	-0.004	-0.007**	-0.006***
		(0.01)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
share_females_session	Female Session Share	-0.298	-0.032	-0.256	0.568	-0.257	-0.002
		(0.38)	(0.33)	(0.37)	(0.40)	(0.23)	(0.15)
							
Observations		750	730	900	750	1,530	3,910
R-squared		0.092	0.060	0.057	0.054	0.029	0.020
Behavioral Controls		Yes	Yes	Yes	Yes	Yes	Yes
Demographic Controls		Yes	Yes	Yes	Yes	Yes	Yes
Treatment		Baseline	Positive	Negative	PositiveNegative	Baseline-R	AT
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
